,VIN,Brand,Model,Trim,Manufature_Year,Mileage,MPG_City,MPG_Highway,Engine_Capacity,Transmission,Drive_Type,Fuel_Type,Exterior_Color,Interior_Color,Accidents,Owners,Car_Usage_Type,Location,Price
156, 19XFC1F33KE214743,Honda,Civic,EX Sedan CVT,2019,"191,041",32,42,1.5, Automatic, FWD,Gas,Black,Black,0,1, Personal use,"Montclair, CA","15,797"
157, 1C4RJFAG0EC580021,Jeep,Grand,Altitude 4WD,2014,"130,756",17,24,3.6, Automatic, 4WD,Gas,White,Black,0,2, Personal use,"Houston, TX","13,498"
158, 1FTFW1EV4AFC89496,Ford,F-150,Lariat SuperCrew 5.5' Box 4WD,2010,"185,609",14,18,5.4, Automatic, 4WD,Gas,Black,Unknown,2,2, Personal use,"Hazard, KY","9,000"
159, 1G1ZD5ST9LF097600,Chevrolet,Malibu,LT,2020,"69,467",29,36,1.5, Automatic, FWD,Gas,Gray,Black,1,1, Personal use,"DeSoto, TX","20,991"
160, KMHCT4AE2GU980707,Hyundai,Accent,SE Sedan Automatic,2016,"102,861",26,37,1.6, Automatic, FWD,Gas,Gray,Gray,0,2, Fleet use,"Tallahassee, FL","10,999"
161, 1FTEX1EP7KKE98492,Ford,F-150,XLT SuperCab 6.5' Box 4WD,2019,"169,385",18,23,2.7, Automatic, 4WD,Gas,Gray,Gray,1,1, Personal use,"Salisbury, NC","24,634"
162, 1FTEW1EG8KFB85365,Ford,F-150,Limited SuperCrew 5.5' Box 4WD,2019,"30,979",17,21,3.5, Automatic, 4WD,Gas,Black,Beige,0,2, Personal use,"Indianapolis, IN","55,664"
163, 1FTEX1EP3KKC16929,Ford,F-150,XL SuperCab 6.5' Box 4WD,2019,"149,932",18,23,2.7, Automatic, 4WD,Gas,White,Gray,0,1, Personal use,"Keller, TX","25,975"
164, 1C4AJWAG0HL718741,Jeep,Wrangler,Sport,2017,"27,900",17,21,3.6, Automatic, 4WD,Gas,White,Black,1,2, Personal use,"Saint Petersburg, FL","24,990"
165, 1C6SRFLT5KN700472,Ram,1500,"Rebel Crew Cab 5'7"" Box 4WD",2019,"71,580",19,24,5.7, Automatic, 4WD,Gas,White,Black,0,1, Personal use,"Wilmington, NC","39,831"
166, JN8AT2MV6JW342682,Nissan,Rogue,SV AWD,2018,"48,154",25,32,2.5, Automatic, AWD,Gas,Black,Black,0,2, Fleet use,"Elizabeth City, NC","22,895"
167, KNMAT2MV7LP540700,Nissan,Rogue,SV AWD,2020,"52,055",25,32,2.5, Automatic, AWD,Gas,Black,Black,0,1, Personal use,"Elizabeth City, NC","24,595"
168, 5UXTR7C55KLR44007,BMW,X3,sDrive30i RWD,2019,"61,531",23,30,2.0, Automatic, RWD,Gas,Black,Black,0,1, Personal use,"ORLANDO, FL","25,980"
169, 1C4RJECG2JC301671,Jeep,Grand,High Altitude RWD,2018,"50,403",19,26,3.6, Automatic, RWD,Gas,Black,Black,0,1, Personal use,"Daytona Beach, FL","29,999"
170, 3GCUKREC0FG263385,Chevrolet,Silverado,LT Z71 Crew Cab Short Box 4WD,2015,"114,701",17,22,5.3, Automatic, 4WD,Gas,Silver,Black,0,4, Fleet use,"Greensboro, NC","25,999"
