,VIN,Brand,Model,Trim,Manufature_Year,Mileage,MPG_City,MPG_Highway,Engine_Capacity,Transmission,Drive_Type,Fuel_Type,Exterior_Color,Interior_Color,Accidents,Owners,Car_Usage_Type,Location,Price
55, 3FA6P0HD7GR389474,Ford,Fusion,SE FWD,2016,"42,876",22,34,1.5, Automatic, FWD,Gas,Black,Unknown,0,2, Fleet use,"Salem, OR","14,999"
56, 1C4RJEBGXLC348273,Jeep,Grand,Limited RWD,2020,"66,200",19,26,3.6, Automatic, RWD,Gas,White,Black,0,1, Personal use,"Longview, TX","33,970"
57, 1FM5K7B83EGB09591,Ford,Explorer,Base FWD,2014,"160,238",17,24,3.5, Automatic, FWD,Gas,White,Gray,1,2, Personal use,"Pasadena, TX","9,266"
58, 5NMS3CAD1LH165269,Hyundai,Santa,SEL 2.4L AWD,2020,"66,782",21,27,2.4, Automatic, AWD,Gas,White,Unknown,0,2, Personal use,"Corpus Christi, TX","24,304"
59, 2C4RDGCG9KR798407,Dodge,Grand,SXT,2019,"64,762",17,25,3.6, Automatic, FWD,Gas,White,Black,0,1, Personal use,"Columbus, GA","22,399"
60, 1FTEX1CG3JFC55594,Ford,F-150,Lariat SuperCab 6.5' Box 2WD,2018,"195,296",20,26,3.5, Automatic, RWD,Gas,White,Gray,3,1, Personal use,"Lawrenceville, GA","17,420"
61, 1FTEW1EP5JKD62086,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2018,"121,374",18,23,2.7, Automatic, 4WD,Gas,Gray,Unknown,0,2, Personal use,"Blackfoot, ID","27,901"
62, 4T1B11HK8JU038440,Toyota,Camry,XLE I4 Automatic,2018,"35,816",28,39,2.5, Automatic, FWD,Gas,White,Beige,0,2, Personal use,"Staunton, VA","19,500"
63, 3GCUKRECXEG147111,Chevrolet,Silverado,LT with 1LT Crew Cab Short Box 4WD,2014,"139,227",17,22,5.3, Automatic, 4WD,Gas,Black,Black,2,4, Personal use,"Castle Rock, CO","18,698"
64, 3FA6P0D91LR174975,Ford,Fusion,Titanium AWD,2020,"15,344",20,29,2.0, Automatic, AWD,Gas,White,Black,1,2, Personal use,"Charlotte, NC","26,600"
65, 1G1ZD5ST7LF093769,Chevrolet,Malibu,LT,2020,"58,100",29,36,1.5, Automatic, FWD,Gas,White,Black,0,1, Personal use,"Memphis, TN","21,989"
66, 1FTEW1EP2FFB29766,Ford,F-150,Lariat SuperCrew 5.5' Box 4WD,2015,"158,248",18,23,2.7, Automatic, 4WD,Gas,White,Unknown,2,0, Personal use,"Tomball, TX","23,990"
67, 3N1AB7AP5KY246850,Nissan,Sentra,SV CVT,2019,"123,831",29,37,1.8, Automatic, FWD,Gas,Blue,Black,1,1, Personal use,"Greensboro, NC","12,999"
68, 1FMCU0J95EUE11436,Ford,Escape,Titanium FWD,2014,"122,368",23,32,2.0, Automatic, FWD,Gas,Black,Black,1,2, Fleet use,"Garland, TX","11,999"
69, 1FTEW1E50JKE45892,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2018,"87,995",18,23,5.0, Automatic, 4WD,Gas,White,Gray,0,2, Personal use,"Pasco, WA","29,989"
70, 5NPEB4AC4DH551086,Hyundai,Sonata,GLS 2.4L (alt),2013,"111,980",24,35,2.4, Automatic, FWD,Gas,Gray,Gray,0,2, Personal use,"Tomball, TX","9,990"
71, 1C4RJFBG8KC578737,Jeep,Grand,Limited 4WD,2019,"42,868",18,25,3.6, Automatic, 4WD,Gas,Gray,Black,2,1, Personal use,"Boardman, OH","29,990"
72, 5XYPK4A58KG463883,Kia,Sorento,SX V6 FWD,2019,"68,281",19,26,3.3, Automatic, FWD,Gas,White,Gray,0,1, Personal use,"Milton, FL","28,500"
73, 3GNAXJEV8JS586393,Chevrolet,Equinox,LT with 1LT FWD,2018,"92,421",26,32,1.5, Automatic, FWD,Gas,White,Black,0,2, Personal use,"Tarpon Springs, FL","15,500"
74, 1C3CCCAB5FN534844,Chrysler,200,Limited FWD,2015,"102,597",23,36,2.4, Automatic, FWD,Gas,White,Black,0,2, Personal use,"Tucson, AZ","9,999"
75, 1FMCU0F73EUE00815,Ford,Escape,S FWD,2014,"115,672",22,31,2.5, Automatic, FWD,Gas,White,Black,0,2, Personal use,"Escondido, CA","9,988"
76, 1C6RR6FG1KS581155,Ram,1500,"Tradesman Quad Cab 6'4"" Box 2WD",2019,"75,072",17,25,3.6, Automatic, RWD,Gas,White,Black,0,1, Personal use,"Alvin, TX","19,000"
77, 5TFUW5F16JX733191,Toyota,Tundra,SR5 Double Cab 6.5' Bed Flex Fuel 5.7L V8 4WD,2018,"76,672",13,17,5.7, Automatic, 4WD,Gas,White,Gray,0,1, Personal use,"Abilene, TX","29,995"
78, 1FTFW1EF8EKD40438,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2014,"138,002",14,19,5.0, Automatic, 4WD,Gas,White,Gray,0,3, Fleet use,"Ventura, CA","17,995"
79, 2C4RC1DG6LR144657,Chrysler,Voyager,LXI FWD,2020,"60,746",19,28,3.6, Automatic, FWD,Gas,White,Gray,0,1, Personal use,"Pembroke Pines, FL","21,490"
80, 3FA6P0H76HR280953,Ford,Fusion,SE FWD,2017,"152,000",21,32,2.5, Automatic, FWD,Gas,Black,Black,0,2, Fleet use,"Detroit, MI","9,500"
81, 1FTEW1EBXKFB48340,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2019,"75,639",18,23,3.3, Automatic, 4WD,Gas,Silver,Gray,0,2, Personal use,"Clarksville, TN","33,153"
82, 2GNAXVEXXK6272592,Chevrolet,Equinox,LT with 2LT AWD,2019,"81,981",22,28,2.0, Automatic, AWD,Gas,White,Gray,1,1, Personal use,"Albuquerque, NM","19,450"
83, 3FAHP0HA6CR427883,Ford,Fusion,SE FWD,2012,"205,800",23,33,2.5, Automatic, FWD,Gas,Black,Unknown,0,2, Personal use,"Dunn, NC","4,984"
84, 3C4NJDBB7LT236323,Jeep,Compass,Latitude 4WD,2020,"125,962",22,31,2.4, Automatic, 4WD,Gas,Black,Black,0,1, Personal use,"Woodland, CA","18,500"
85, 5NPD84LF3LH573077,Hyundai,Elantra,SEL 2.0L IVT,2020,"61,606",30,40,2.0, Automatic, FWD,Gas,Silver,Gray,0,1, Personal use,"Sarasota, FL","16,591"
86, 1C6RR7TT1FS648835,Ram,1500,"Outdoorsman Crew Cab 6'4"" Box 4WD",2015,"143,217",15,21,5.7, Automatic, 4WD,Gas,Black,Gray,1,2, Personal use,"Boise, ID","20,000"
87, 2T1BURHE6KC148714,Toyota,Corolla,SE CVT,2019,"36,743",28,35,1.8, Automatic, FWD,Gas,White,Black,0,1, Personal use,"Midway City, CA","16,995"
88, 1C6RRFFG0MN527380,Ram,1500,"Big Horn Crew Cab 5'7"" Box 4WD",2021,"17,673",19,24,3.6, Automatic, 4WD,Gas,White,Gray,1,1, Personal use,"Miami, FL","34,999"
89, 3N1AB7AP9KY245832,Nissan,Sentra,SV CVT,2019,"55,930",29,37,1.8, Automatic, FWD,Gas,Silver,Black,0,2, Personal use,"Concord, NC","16,995"
90, 1FTFW1CT4DKD65084,Ford,F-150,XLT SuperCrew 5.5' Box 2WD,2013,"116,290",17,23,3.5, Automatic, RWD,Gas,White,Unknown,0,3, Personal use,"Selma, TX","16,999"
91, 2GNAXJEV0J6288788,Chevrolet,Equinox,LT with 1LT FWD,2018,"139,138",26,32,1.5, Automatic, FWD,Gas,Silver,Black,1,1, Personal use,"Smyrna, GA","12,999"
92, 3C4NJDCB2LT126682,Jeep,Compass,Limited 4WD,2020,"56,258",22,30,2.4, Automatic, 4WD,Gas,White,Black,1,3, Personal use,"Lakeland, FL","20,999"
93, 1FTEW1E46KFC20426,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2019,"127,724",18,23,3.5, Automatic, 4WD,Gas,Gray,Gray,2,1, Fleet use,"Raleigh, NC","28,995"
94, 1C4RJFBG4KC840818,Jeep,Grand,Limited 4WD,2019,"24,988",18,25,3.6, Automatic, 4WD,Gas,Black,Black,1,1, Personal use,"Lindon, UT","30,400"
95, 5XYPG4A35LG687193,Kia,Sorento,LX FWD,2020,"117,929",22,29,2.4, Automatic, FWD,Gas,Silver,Black,1,1, Personal use,"Lubbock, TX","18,789"
96, 1G1ZD5ST3LF037926,Chevrolet,Malibu,LT,2020,"62,068",29,36,1.5, Automatic, FWD,Gas,Black,Black,0,1, Personal use,"Orlando, FL","21,695"
97, 1G1ZD5ST5LF038950,Chevrolet,Malibu,LT,2020,"76,644",29,36,1.5, Automatic, FWD,Gas,White,Black,0,1, Personal use,"Gonzales, LA","20,498"
98, 5XXGT4L31LG413664,Kia,Optima,LX Automatic,2020,"48,390",24,32,2.4, Automatic, FWD,Gas,Black,Black,1,2, Personal use,"West Chester, OH","17,995"
99, 1FTFW1EF6EKE83016,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2014,"192,501",14,19,5.0, Automatic, 4WD,Gas,Black,Black,0,3, Personal use,"Colorado Springs, CO","13,599"
100, 1FTEW1EBXJFD21725,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2018,"46,653",18,23,3.3, Automatic, 4WD,Gas,Black,Black,0,1, Personal use,"Quakertown, PA","29,990"
101, 1G1ZD5ST9LF025344,Chevrolet,Malibu,LT,2020,"58,888",29,36,1.5, Automatic, FWD,Gas,Gray,Black,1,1, Fleet use,"Marietta, GA","18,995"
102, 1C3CCCAB3FN596789,Chrysler,200,Limited FWD,2015,"162,365",23,36,2.4, Automatic, FWD,Gas,Gray,Black,0,2, Personal use,"Garland, TX","7,899"
103, 2GNAXHEV9K6262586,Chevrolet,Equinox,LS with 1LS FWD,2019,"25,704",26,32,1.5, Automatic, FWD,Gas,Silver,Gray,1,1, Personal use,"Las Vegas, NV","20,600"
104, 1FTEW1EB2KKD52122,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2019,"86,635",18,23,3.3, Automatic, 4WD,Gas,Black,Black,0,1, Personal use,"Fargo, ND","31,530"
105, 5UXCR6C59KLK79624,BMW,X5,xDrive40i,2019,"137,332",20,26,3.0, Automatic, AWD,Gas,Black,Brown,0,1, Personal use,"Cockeysville, MD","34,551"
106, 1FTFW1EF4DFD07668,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2013,"128,250",14,19,5.0, Automatic, 4WD,Gas,White,Black,0,3, Personal use,"Portsmouth, VA","17,999"
107, 1FMCU9GD9JUC17809,Ford,Escape,SE 4WD,2018,"77,487",22,28,1.5, Automatic, 4WD,Gas,Red,Black,0,1, Personal use,"Boardman, OH","17,550"
108, 2HGFB2F51FH543169,Honda,Civic,LX Sedan CVT,2015,"128,791",30,39,1.8, Automatic, FWD,Gas,Black,Black,2,2, Personal use,"Escondido, CA","10,995"
109, 3N1AB7AP1KY395367,Nissan,Sentra,S CVT,2019,"81,453",27,35,1.8, Automatic, FWD,Gas,Gray,Black,1,2, Fleet use,"West Chester, OH","11,995"
110, 5N1AT2MT1JC710127,Nissan,Rogue,SL FWD,2018,"113,819",26,33,2.5, Automatic, FWD,Gas,Black,Black,0,2, Fleet use,"ORLANDO, FL","14,980"
111, 3GNAXJEV8JL119131,Chevrolet,Equinox,LT with 1LT FWD,2018,"74,465",26,32,1.5, Automatic, FWD,Gas,Black,Black,0,1, Personal use,"Leesburg, FL","19,788"
112, 1FMCU9G9XFUA32073,Ford,Escape,SE 4WD,2015,"197,019",22,29,2.0, Automatic, 4WD,Gas,Black,Unknown,0,2, Personal use,"Rockford, IL","8,500"
113, 1GNEVJKW9KJ253532,Chevrolet,Traverse,High Country with 2LZ AWD,2019,"119,034",17,25,3.6, Automatic, AWD,Gas,Gray,Black,0,1, Personal use,"Abilene, TX","29,900"
114, 1FTEW1EB4KFC33173,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2019,"21,411",18,23,3.3, Automatic, 4WD,Gas,Black,Unknown,0,1, Fleet use,"Jackson, TN","38,777"
115, 2C4RC1BG2GR164493,Chrysler,Town,Touring,2016,"96,949",17,25,3.6, Automatic, FWD,Gas,White,Black,0,2, Personal use,"San Antonio, TX","14,895"
116, 19XFC1F79KE200235,Honda,Civic,EX-L Sedan CVT,2019,"31,821",32,42,1.5, Automatic, FWD,Gas,White,Black,0,2, Personal use,"San Diego, CA","16,999"
117, 1FTEX1CM3BFD08527,Ford,F-150,XL SuperCab 6.5' Box 2WD,2011,"90,551",17,23,3.7, Automatic, RWD,Gas,White,Gray,0,1, Personal use,"Austin, TX","12,999"
118, 1G1ZD5ST9LF098651,Chevrolet,Malibu,LT,2020,"53,480",29,36,1.5, Automatic, FWD,Gas,Black,Black,0,1, Personal use,"Memphis, TN","22,489"
119, 1C6RR7LT0HS595144,Ram,1500,"Big Horn Crew Cab 5'7"" Box 4WD",2017,"131,249",16,23,5.7, Automatic, 4WD,Gas,Silver,Gray,0,2, Personal use,"Jarrettsville, MD","20,642"
120, KNMAT2MT6LP500204,Nissan,Rogue,SV FWD,2020,"41,994",26,33,2.5, Automatic, FWD,Gas,White,Black,0,2, Fleet use,"Elizabeth City, NC","24,895"
121, 1G1ZD5ST8LF089259,Chevrolet,Malibu,LT,2020,"57,097",29,36,1.5, Automatic, FWD,Gas,White,Black,0,2, Personal use,"Sierra Vista, AZ","21,788"
122, 3N1AB7AP5KY288953,Nissan,Sentra,SV CVT,2019,"92,244",29,37,1.8, Automatic, FWD,Gas,White,Black,0,1, Fleet use,"Costa Mesa, CA","13,500"
123, 5YFEPMAE6MP212674,Toyota,Corolla,LE CVT,2021,"24,808",30,38,1.8, Automatic, FWD,Gas,Silver,Unknown,2,1, Personal use,"Pasadena, TX","20,164"
124, 5N1AT2MV1LC740510,Nissan,Rogue,SL AWD,2020,"40,787",25,32,2.5, Automatic, AWD,Gas,Gray,Black,1,1, Fleet use,"Middle Village, NY","20,995"
