,VIN,Brand,Model,Trim,Manufature Year,Mileage,MPG City,MPG Highway,Engine,Transmission,Drive type,Fuel Type,Exterior Color,Interior Color,Accidents,Owners,Car Usage Type,Location,Price
116, 1FMJU1JT0HEA28947,Ford,Expedition,XLT 4WD,2017,"66,420 miles", 15,20, 3.5L V-6 Gas Turbocharged, Automatic, 4WD,Gas,Blue,Unknown,No accidents, 2 Owners, Fleet use,"Bend, OR","$29,990"
117, 1FMSK8DH3LGD17103,Ford,Explorer,XLT 4WD,2020,"17,630 miles", 20,27, 2.3L Inline-4 Gas Turbocharged, Automatic, 4WD,Gas,Black,Black,No accidents, 1 Owner, Personal use,"Hudson, WI","$39,995"
118, 3GNAXKEV0LS516279,Chevrolet,Equinox,LT with 1LT FWD,2020,"35,582 miles", 26,32, 1.5L Inline-4 Gas Turbocharged, Automatic, FWD,Gas,Silver,Black,1 accident, 2 Owners, Personal use,"Sanford, FL","$23,590"
119, 1FTEW1EP9KKC25959,Ford,F-150,Lariat SuperCrew 5.5' Box 4WD,2019,"50,561 miles", 19,24, 2.7L V-6 Gas Turbocharged, Automatic, 4WD,Gas,White,Black,No accidents, 1 Owner, Personal use,"Hazelwood, MO","$39,990"
120, 1ZVFT80NX55102814,Ford,Mustang,2dr Coupe Premium,2005,"174,987 miles", 19,28, 4.0L V-6 Gas, Automatic, RWD,Gas,Silver,Black,1 accident, 5 Owners, Personal use,"Austin, TX","$6,499"
121, 1FTFW1EF4EFB51083,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2014,"99,989 miles", 14,19, 5.0L V-8 Gas, Automatic, 4WD,Gas,White,Black,No accidents, 1 Owner, Personal use,"Van Nuys, CA","$20,988"
122, 1N4BL4BV0LC207822,Nissan,Altima,2.5 S FWD,2020,"62,595 miles", 28,39, 2.5L Inline-4 Gas, Automatic, FWD,Gas,Gray,Black,1 accident, 1 Owner, Personal use,"Ocala, FL","$19,792"
123, 2C4RDGBG7KR591208,Dodge,Grand,SE,2019,"124,972 miles", 17,25, 3.6L V-6 Gas, Automatic, FWD,Gas,Silver,Black,No accidents, 2 Owners, Fleet use,"Wenatchee, WA","$16,995"
124, WBXHT3C35J5K31260,BMW,X1,xDrive28i AWD,2018,"60,601 miles", 22,31, 2.0L Inline-4 Gas Turbocharged, Automatic, AWD,Gas,White,Beige,1 accident, 2 Owners, Personal use,"Reno, NV","$26,999"
125, 1FTFW1CT8EFC74622,Ford,F-150,XLT SuperCrew 5.5' Box RWD,2014,"222,150 miles", 17,23, 3.5L V-6 Gas Turbocharged, Automatic, RWD,Gas,Red,Gray,No accidents, 2 Owners, Personal use,"Pembroke Pines, FL","$12,995"
