VIN,brand,model,trim,manufacture_year,mileage,transmission,drive_type,fuel_type,exterior_color,interior_color,accidents,owners,car_usage_type,price,car_age,state,MPG
 NMTKHMBXXJR022961,Toyota,C-HR,XLE FWD,2018,101150, Automatic,FWD,Gas,Gray,Black,1,2,Personaluse,18400,4, SC,29.0
 1FTNE2EW8EDB07331,Ford,Econoline  ,E-250 Commercial,2014,95117, Automatic,RWD,Gas,White,Gray,0,2,Personaluse,21995,8, KS,14.5
 KNDPM3ACXK7542567,Kia,Sportage,LX FWD,2019,61970, Automatic,FWD,Gas,Silver,Black,0,2,Personaluse,20998,3, FL,26.5
 5XYPGDA58LG697718,Kia,Sorento,S V6 AWD,2020,25580, Automatic,AWD,Gas,White,Black,0,1,Personaluse,31250,2, FL,21.0
 5UXUJ3C56KLG57010,BMW,X4,xDrive30i,2019,113507, Automatic,AWD,Gas,White,Black,0,1,Personaluse,32859,3, AL,25.5
 NM0LS7EX5G1245917,Ford,Transit  ,XL LWB,2016,144225, Automatic,FWD,Gas,White,Black,0,3,Fleetuse,16740,6, MD,24.0
 1C4RJFAG3KC814650,Jeep,Grand Cherokee,Laredo E 4WD,2019,14510, Automatic,4WD,Gas,White,Black,0,1,Personaluse,31998,3, TX,21.5
 3C6RR7LT3HG659829,Ram,1500,"Big Horn Crew Cab 5'7"" Box 4WD",2017,48904, Automatic,4WD,Gas,Gray,Gray,1,1,Personaluse,32338,5, ID,19.5
 1FMCU9GX7FUB20612,Ford,Escape,SE 4WD,2015,117170, Automatic,4WD,Gas,White,Gray,0,3,Fleetuse,13026,7, TX,25.5
 4T1B11HK5KU802553,Toyota,Camry,L Automatic,2019,12047, Automatic,FWD,Gas,White,Gray,0,1,Personaluse,26998,3, FL,35.0
 WDDZF4KB5KA511329,Mercedes-Benz,E-Class,E 300 Sedan 4MATIC,2019,64380, Automatic,AWD,Gas,Black,Brown,0,1,Personaluse,30966,3, WA,25.0
 1FMJK2AT1KEA43671,Ford,Expedition,Max Limited 4WD,2019,89311, Automatic,4WD,Gas,Black,Black,0,2,Personaluse,43998,3, WA,18.5
 5N1AT2MV5KC815286,Nissan,Rogue,S AWD,2019,77032, Automatic,AWD,Gas,Black,Black,1,1,Personaluse,19200,3, OH,28.5
 JA4AZ3A32LZ030177,Mitsubishi,Outlander,SEL S-AWC,2020,46614, Automatic,4WD,Gas,White,Black,0,1,Personaluse,25998,2, WI,26.5
 5FNYF4H99BB022370,Honda,Pilot,Touring with Navigation/Rear Entertainment System 4WD,2011,189149, Automatic,4WD,Gas,Maroon,Gray,0,1,Personaluse,10995,11, FL,19.0
 5UXKT0C51G0S75182,BMW,X5,xDrive40e AWD,2016,72875, Automatic,AWD,Hybrid,Gray,Gray,1,2,Fleetuse,29990,6, FL,19.5
 SHHFK7H52JU421409,Honda,Civic,EX Hatchback CVT,2018,34576, Automatic,FWD,Gas,Black,Black,0,2,Fleetuse,26379,4, KY,35.5
 3GNAXUEU4JL323207,Chevrolet,Equinox,LT with 3LT AWD,2018,70434, Automatic,AWD,Diesel,Black,Black,0,2,Fleetuse,21998,4, KY,33.0
 NMTKHMBX1JR014229,Toyota,C-HR,XLE FWD,2018,74002, Automatic,FWD,Gas,Black,Black,0,3,Personaluse,21998,4, FL,29.0
 5YFBURHE2EP017185,Toyota,Corolla,LE Plus CVT,2014,66207, Automatic,FWD,Gas,Gray,Gray,0,2,Fleetuse,15799,8, TX,33.5
 KM8K3CA57JU102882,Hyundai,Kona,Limited AWD DCT,2018,31232, Automatic,AWD,Gas,White,Gray,0,1,Personaluse,24800,4, MA,27.5
 1C6RR7KT4ES331101,Ram,1500,"Express Crew Cab 5'7"" Box 4WD",2014,199906, Automatic,4WD,Gas,Gray,Gray,0,3,Personaluse,15477,8, CA,19.5
 1FM5K8GT3EGA41957,Ford,Explorer,Sport 4WD,2014,94650, Automatic,4WD,Gas,White,Black,0,3,Personaluse,20989,8, CA,19.0
 1FTEW1E5XLFA63199,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2020,60592, Automatic,4WD,Gas,Black,Gray,0,2,Personaluse,37590,2, VA,20.5
 SALAK2V62GA817281,Land Rover,Rover LR4,HSE LUX,2016,85430, Automatic,4WD,Diesel,Black,Gray,0,3,Personaluse,32388,6, CA,17.0
 1FMSK8DH3LGB14647,Ford,Explorer,XLT 4WD,2020,34953, Automatic,4WD,Gas,White,Black,0,1,Personaluse,34990,2, IA,23.5
 KMHE24L17GA020127,Hyundai,Sonata,Hybrid SE 2.0L,2016,98680, Automatic,FWD,Hybrid,White,Beige,0,2,Personaluse,13990,6, TX,42.0
 JTJBM7FX4K5214700,Lexus,GX,GX 460 Premium,2019,66057, Automatic,4WD,Gas,Gray,Black,0,1,Personaluse,41274,3, TX,16.5
 5YFEPRAEXLP014692,Toyota,Corolla,LE CVT,2020,53968, Automatic,FWD,Gas,Silver,Black,1,1,Fleetuse,21990,2, TX,34.0
 1C4RJFAG3JC136299,Jeep,Grand Cherokee,Altitude 4WD,2018,57681, Automatic,4WD,Gas,Red,Black,1,1,Personaluse,30998,4, MO,21.5
 1VWLA7A36KC012311,Volkswagen,Passat,2.0T Wolfsburg Edition,2019,71084, Automatic,FWD,Gas,Gray,Gray,0,1,Fleetuse,21997,3, FL,30.5
 3GNAXKEV4LS602291,Chevrolet,Equinox,LT with 1LT FWD,2020,20811, Automatic,FWD,Gas,White,Black,0,1,Personaluse,25990,2, TX,29.0
 1C4RDJAG8KC777573,Dodge,Durango,SXT Plus AWD,2019,28154, Automatic,AWD,Gas,White,Black,0,1,Personaluse,31990,3, CA,21.5
 3VWD17AJ9GM306603,Volkswagen,Jetta,1.8T Sport Auto (PZEV),2016,90765, Automatic,FWD,Gas,Red,Black,0,2,Personaluse,15477,6, TX,30.5
 WBXJG9C05M5S99335,BMW,X1,xDrive28i,2021,14254, Automatic,RWD,Gas,White,Black,0,1,Personaluse,39500,1, CA,28.5
 3GYFNBE35ES585193,Cadillac,SRX,Luxury Collection FWD,2014,110470, Automatic,FWD,Gas,Blue,Gray,0,2,Fleetuse,13900,8, TN,20.5
 1FTEW1CP5GFC97471,Ford,F-150,XLT SuperCrew 5.5' Box RWD,2016,99112, Automatic,RWD,Gas,White,Gray,0,2,Fleetuse,24997,6, FL,21.5
