VIN,brand,model,trim,manufacture_year,mileage,transmission,drive_type,fuel_type,exterior_color,interior_color,accidents,owners,car_usage_type,price,car_age,state,MPG
 5FPYK3F6XHB002417,Honda,Ridgeline,RTL-T AWD,2017,101576, Automatic,AWD,Gas,Silver,Gray,0,3,Personaluse,25499,5, IN,21.5
 JTDKN3DP4C3008964,Toyota,Prius,Plug-in Hybrid Advanced,2012,65082, Automatic,FWD,Hybrid,Gray,Gray,0,1,Personaluse,20990,10, CA,50.0
 SADCJ2FX7JA258056,Jaguar,F-PACE,Premium 25t,2018,29717, Automatic,AWD,Gas,White,Black,0,1,Personaluse,38625,4, NC,24.5
 3FA6P0HR3DR138619,Ford,Fusion,SE FWD,2013,154044, Automatic,FWD,Gas,White,Black,0,2,Personaluse,7399,9, CA,28.0
 JTJHT00WX64011715,Lexus,LX,LX 470,2006,224550, Automatic,4WD,Gas,Black,Red,1,1,Personaluse,14500,16, ID,15.0
 5N1AT2MT1KC770345,Nissan,Rogue,S FWD,2019,151343, Automatic,FWD,Gas,Gray,Black,1,1,Personaluse,13881,3, ID,29.5
 WDDHF8JB5EA812014,Mercedes-Benz,E-Class,E 350 4MATIC Luxury Sedan,2014,104220, Automatic,AWD,Gas,White,Black,1,3,Personaluse,17995,8, TX,25.0
 1FTMF1CM9DKD84939,Ford,F-150,STX Reg Cab 6.5' Box 2WD,2013,165239, Automatic,RWD,Gas,White,Black,2,3,Fleetuse,9995,9, GA,20.0
 2C4RDGCG3KR544465,Dodge,Grand Caravan,SXT,2019,18467, Automatic,FWD,Gas,White,Black,1,4,Fleetuse,26000,3, TX,21.0
 KNMAT2MV7KP553686,Nissan,Rogue,SV AWD,2019,65126, Automatic,AWD,Gas,Black,Black,0,1,Fleetuse,22997,3, TX,28.5
 5GRGN23U96H117949,HUMMER,H2,SUV,2006,159950, Automatic,4WD,Gas,Gray,Black,0,2,Personaluse,16995,16, FL,34.0
 2T2BZMCAXKC211754,Lexus,RX,RX 350 AWD,2019,14150, Automatic,AWD,Gas,Gray,Black,0,2,Personaluse,41000,3, TX,22.5
 WDBPJ75J43A035112,Mercedes-Benz,CL,CL 500,2003,56995, Automatic,RWD,Gas,Silver,Gray,0,4,Personaluse,12500,19, TX,19.0
 5NMZTDLB8HH030314,Hyundai,Santa Fe Sport,Base 2.4L AWD,2017,118822, Automatic,AWD,Gas,White,Gray,1,2,Personaluse,14500,5, NV,23.0
 1C6RR7VMXGS219510,Ram,1500,"Laramie Crew Cab 6'4"" Box 4WD",2016,158145, Automatic,4WD,Diesel,White,Beige,1,2,Personaluse,20995,6, CA,18.0
 1C4RJFDJXKC774610,Jeep,Grand Cherokee,SRT 4WD,2019,43138, Automatic,4WD,Gas,Gray,Black,0,1,Personaluse,62997,3, TX,16.0
 1C4RJFCT1KC590109,Jeep,Grand Cherokee,High Altitude 4WD,2019,16605, Automatic,4WD,Gas,Black,Black,0,1,Personaluse,43854,3, VA,21.5
 JTDEPRAE3LJ047120,Toyota,Corolla,LE CVT,2020,56730, Automatic,FWD,Gas,Gray,Black,1,1,Fleetuse,19500,2, FL,34.0
 WDDNG9EB2CA481812,Mercedes-Benz,S-Class,S 550 4MATIC Sedan,2012,182000, Automatic,AWD,Gas,Silver,Black,1,3,Personaluse,13500,10, NM,19.5
 1FM5K8D89JGA77453,Ford,Explorer,XLT 4WD,2018,49893, Automatic,4WD,Gas,Silver,Black,0,1,Personaluse,29000,4, TX,19.0
 3C4NJDDB6JT198691,Jeep,Compass,Trailhawk 4WD,2018,102534, Automatic,4WD,Gas,Gray,Red,2,1,Personaluse,18503,4, FL,26.0
 1FMCU9GD1KUB82216,Ford,Escape,SE AWD,2019,61127, Automatic,AWD,Gas,White,Gray,0,2,Fleetuse,21054,3, CO,25.0
 JTHFN48Y640054260,Lexus,SC,SC 430 Convertible,2004,140250, Automatic,RWD,Gas,Black,Black,0,1,Personaluse,14250,18, TX,20.5
 5UXCR6C53KLL08762,BMW,X5,xDrive40i,2019,57091, Automatic,AWD,Gas,White,Beige,0,1,Personaluse,47177,3, TX,23.0
 5NPD84LF5HH058119,Hyundai,Elantra,SE 2.0L Sedan Automatic (alt),2017,170905, Automatic,FWD,Gas,White,Gray,0,1,Personaluse,9500,5, FL,33.5
 1C4PJMDN7KD364775,Jeep,Cherokee,Limited 4WD,2019,44779, Automatic,4WD,Gas,White,Black,0,1,Personaluse,27453,3, TX,23.0
 W1N0G8EB0MF870492,Mercedes-Benz,GLC,GLC 300 SUV 4MATIC,2021,11935, Automatic,RWD,Gas,White,Black,0,1,Personaluse,45000,1, GA,24.5
 1C4RJFBG9EC124579,Jeep,Grand Cherokee,Limited 4WD,2014,110200, Automatic,4WD,Gas,White,Black,0,2,Personaluse,18500,8, FL,20.5
 JTHBJ46G272037372,Lexus,ES,ES 350,2007,79400, Automatic,FWD,Gas,Silver,Black,0,3,Personaluse,12995,15, MI,25.5
 5TFUW5F12GX509960,Toyota,Tundra,SR5 Double Cab 6.5' Bed Flex Fuel 5.7L V8 4WD,2016,177850, Automatic,4WD,Gas,White,Black,1,2,Personaluse,20995,6, TX,15.0
 2HGFC2F74JH549412,Honda,Civic,EX Sedan CVT,2018,130000, Automatic,FWD,Gas,Black,Black,0,1,Personaluse,17500,4, ND,35.5
 1FMSK8DH7MGB77199,Ford,Explorer,XLT 4WD,2021,10068, Automatic,4WD,Gas,Black,Black,0,1,Personaluse,36500,1, MI,23.5
 1N4BL4BV6LC230912,Nissan,Altima,2.5 S FWD,2020,31155, Automatic,FWD,Gas,Silver,Black,0,1,Personaluse,23995,2, NC,33.5
 1G1P75SZ0E7100786,Chevrolet,Cruze,Diesel Automatic,2014,119500, Automatic,FWD,Diesel,Blue,Brown,0,3,Fleetuse,9995,8, AZ,36.5
 3N1AB7AP1KY333385,Nissan,Sentra,SV CVT,2019,84322, Automatic,FWD,Gas,White,Black,0,1,Fleetuse,17997,3, ID,33.0
 5YFBURHE3HP586390,Toyota,Corolla,L CVT,2017,79051, Automatic,FWD,Gas,Black,Gray,0,2,Personaluse,16700,5, MI,32.0
 WBAFR7C57BC801703,BMW,5 ,535i Sedan,2011,109800, Automatic,RWD,Gas,Gray,Black,2,4,Personaluse,13500,11, NM,23.5
 5NPD84LF4LH569362,Hyundai,Elantra,SEL 2.0L IVT,2020,69716, Automatic,FWD,Gas,Red,Gray,0,1,Personaluse,20000,2, ID,35.0
 JTHBK1EG5A2405760,Lexus,ES,ES 350,2010,81700, Automatic,FWD,Gas,Silver,Black,0,2,Personaluse,14999,12, TX,23.0
 JTMP1RFV3KD501303,Toyota,RAV4,XLE AWD,2019,61794, Automatic,AWD,Gas,Black,Gray,0,2,Fleetuse,28310,3, TX,29.0
 WBA4J3C56JBB97608,BMW,4 ,430i xDrive Gran Coupe,2018,47950, Automatic,AWD,Gas,Black,Brown,0,1,Personaluse,28888,4, TX,28.0
 5UXCW2C08M9E18635,BMW,X7,xDrive40i,2021,55500, Automatic,AWD,Gas,Blue,Brown,0,1,Personaluse,63995,1, NM,21.5
 2T3P1RFV6KW029469,Toyota,RAV4,XLE AWD,2019,53016, Automatic,AWD,Gas,Gray,Black,0,2,Fleetuse,28200,3, OK,29.0
 1FTEW1EP9JFD83967,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2018,48801, Automatic,4WD,Gas,Black,Gray,0,2,Personaluse,35299,4, AZ,20.5
 JTHFN48YX30048511,Lexus,SC,SC 430 Convertible,2003,77800, Automatic,RWD,Gas,Silver,Black,0,2,Personaluse,17250,19, FL,20.5
 1C4RJFLG1LC347565,Jeep,Grand Cherokee,Trailhawk 4WD,2020,65998, Automatic,4WD,Gas,Silver,Black,0,1,Personaluse,36998,2, TX,21.5
 3N1AB7AP0KY254032,Nissan,Sentra,SV CVT,2019,19236, Automatic,FWD,Gas,White,Black,0,1,Personaluse,19639,3, FL,33.0
 1C4PJMLX6KD481198,Jeep,Cherokee,Altitude 4WD,2019,30484, Automatic,4WD,Gas,Gray,Black,0,2,Personaluse,27900,3, PA,24.5
 WBXHT3C32J5K24394,BMW,X1,xDrive28i AWD,2018,37183, Automatic,AWD,Gas,Silver,Black,0,2,Personaluse,27997,4, GA,26.5
 2FMPK4J95KBC61165,Ford,Edge,SEL AWD,2019,49495, Automatic,AWD,Gas,Black,Black,1,1,Personaluse,26420,3, FL,24.5
 1GNERGKW8KJ108120,Chevrolet,Traverse,LT Cloth with 1LT FWD,2019,29923, Automatic,FWD,Gas,Gray,Black,0,1,Personaluse,31971,3, TX,22.5
 1FMCU0J97HUE55037,Ford,Escape,Titanium FWD,2017,69503, Automatic,FWD,Gas,White,Black,0,2,Personaluse,18999,5, WI,26.5
 1C4RJFBG6KC728148,Jeep,Grand Cherokee,Limited 4WD,2019,31135, Automatic,4WD,Gas,Black,Black,0,1,Fleetuse,33689,3, NC,21.5
 1FTEW1EP8JFC72763,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2018,45125, Automatic,4WD,Gas,Red,Gray,0,2,Personaluse,35000,4, CA,20.5
 1C4HJWFG8EL327016,Jeep,Wrangler,Unlimited Rubicon,2014,162300, Automatic,4WD,Gas,White,Black,0,2,Personaluse,22500,8, TX,18.5
 1FTEW1EP1JFA92332,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2018,40517, Automatic,4WD,Gas,White,Black,0,1,Personaluse,35929,4, AZ,20.5
 2T3J1RFV0KC002629,Toyota,RAV4,Adventure AWD,2019,10141, Automatic,AWD,Gas,Red,Gray,0,2,Personaluse,35600,3, CA,29.0
 1FTFX1EG0HFA60919,Ford,F-150,Lariat SuperCab 6.5' Box 4WD,2017,133479, Automatic,4WD,Gas,White,Black,1,1,Fleetuse,21921,5, TX,20.5
 1C4RJFBG3KC591170,Jeep,Grand Cherokee,Limited 4WD,2019,41303, Automatic,4WD,Gas,White,Black,0,2,Personaluse,32989,3, TX,21.5
 4JGDA5HB6CA010768,Mercedes-Benz,M-Class,ML 350 4MATIC,2012,83891, Automatic,AWD,Gas,Silver,Black,0,2,Personaluse,17990,10, TX,19.5
 2HKRM4H53GH653390,Honda,CR-V,EX AWD,2016,73599, Automatic,AWD,Gas,Black,Black,0,1,Personaluse,20500,6, TX,28.0
 2GNAXKEV3K6169835,Chevrolet,Equinox,LT with 1LT FWD,2019,16500, Automatic,FWD,Gas,Silver,Black,0,1,Personaluse,22000,3, FL,29.0
 1FM5K8GT0GGA82114,Ford,Explorer,Sport 4WD,2016,51974, Automatic,4WD,Gas,Black,Black,0,2,Personaluse,27900,6, OH,19.0
 1C4SDJCT9KC549190,Dodge,Durango,R/T AWD,2019,87765, Automatic,AWD,Gas,Gray,Black,0,1,Personaluse,32927,3, CA,18.0
 KL4CJASB7KB904329,Buick,Encore,Preferred FWD,2019,81376, Automatic,FWD,Gas,White,Black,0,1,Personaluse,19997,3, NY,27.5
 1N4AL3AP3HC171348,Nissan,Altima,2.5 SV,2017,151208, Automatic,FWD,Gas,Gray,Black,0,2,Personaluse,11000,5, MI,33.0
 1FM5K8F81EGC59778,Ford,Explorer,Limited 4WD,2014,98200, Automatic,4WD,Gas,Black,Black,0,2,Personaluse,19500,8, CA,20.0
 5XXGW4L24GG094152,Kia,Optima,SX Turbo,2016,122100, Automatic,FWD,Gas,White,Black,0,2,Personaluse,15995,6, TX,27.0
 JN8AT2MV2LW117940,Nissan,Rogue,SV AWD,2020,76006, Automatic,AWD,Gas,Gray,Black,1,1,Personaluse,23997,2, TX,28.5
 3FA6P0HD4KR228167,Ford,Fusion,SE FWD,2019,12617, Automatic,FWD,Gas,White,Gray,0,1,Fleetuse,21689,3, TX,28.5
 JTJHY7AX8B4073318,Lexus,LX,LX 570,2011,150099, Automatic,4WD,Gas,Silver,Red,0,1,Personaluse,27500,11, PA,15.0
 2C4RDGEGXKR616999,Dodge,Grand Caravan,GT,2019,60358, Automatic,FWD,Gas,Black,Black,0,2,Fleetuse,22997,3, TX,21.0
 1C6RR7YT5HS738310,Ram,1500,"Rebel Crew Cab 5'7"" Box 4WD",2017,92754, Automatic,4WD,Gas,White,Black,0,2,Personaluse,30991,5, TX,19.5
 1FTEW1EP6KKF24910,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2019,15589, Automatic,4WD,Gas,Silver,Black,0,1,Personaluse,42639,3, IL,20.5
 3GCUYEEL0MG321452,Chevrolet,Silverado 1500,RST Crew Cab Short Bed 4WD,2021,15975, Automatic,4WD,Gas,Black,Black,0,1,Personaluse,49800,1, FL,20.5
 1C4RJFLG6LC289176,Jeep,Grand Cherokee,Trailhawk 4WD,2020,64165, Automatic,4WD,Gas,Black,Black,0,1,Personaluse,37400,2, FL,21.5
 1C4PJMLB2KD430771,Jeep,Cherokee,Latitude Plus 4WD,2019,28469, Automatic,4WD,Gas,Silver,Black,0,2,Personaluse,25800,3, OR,25.0
 1G1PE5SB6G7108838,Chevrolet,Cruze ,Limited LT with 1LT Sedan AT,2016,101204, Automatic,FWD,Gas,Gray,Black,1,2,Personaluse,10999,6, TX,32.0
 5UXCW2C52KL081601,BMW,X7,xDrive40i,2019,47655, Automatic,AWD,Gas,White,Brown,0,1,Personaluse,63052,3, TX,21.5
 4T1M11AKXLU391235,Toyota,Camry,SE FWD Automatic,2020,30612, Automatic,FWD,Gas,Silver,Black,0,1,Personaluse,27700,2, ID,33.5
 2HKRW2H53LH692683,Honda,CR-V,EX AWD,2020,27619, Automatic,AWD,Gas,Black,Black,0,1,Personaluse,30500,2, OR,29.5
 2C4RC1GG8LR269428,Chrysler,Pacifica,Limited FWD,2020,71915, Automatic,FWD,Gas,Silver,Black,0,1,Personaluse,30000,2, TX,23.5
 5N1AT2MV8LC785699,Nissan,Rogue,S AWD,2020,17665, Automatic,AWD,Gas,Gray,Black,0,1,Personaluse,25995,2, MI,28.5
 2C4RDGBG6KR541092,Dodge,Grand Caravan,SE,2019,41699, Automatic,FWD,Gas,White,Black,0,1,Personaluse,22999,3, GA,21.0
 2C4RDGEG3KR570884,Dodge,Grand Caravan,GT,2019,75319, Automatic,FWD,Gas,Silver,Black,0,2,Fleetuse,21997,3, IN,21.0
 1FTEX1C8XGFA09384,Ford,F-150,XL SuperCab 6.5' Box RWD,2016,18395, Automatic,RWD,Gas,White,Gray,0,1,Personaluse,24900,6, CA,21.5
 KNMAT2MT4KP540621,Nissan,Rogue,SV FWD,2019,51046, Automatic,FWD,Gas,White,Black,0,2,Fleetuse,22997,3, CA,29.5
 4T1BF1FK8GU569425,Toyota,Camry,XLE I4 Automatic,2016,76915, Automatic,FWD,Gas,Silver,Beige,0,2,Personaluse,18997,6, WA,30.0
 3LN6L2GK1FR612068,Lincoln,MKZ,FWD,2015,142529, Automatic,FWD,Gas,Black,Beige,1,2,Personaluse,11500,7, MI,27.5
 2GNAXMEV3J6257097,Chevrolet,Equinox,Premier with 1LZ FWD,2018,80418, Automatic,FWD,Gas,Silver,Black,0,1,Fleetuse,21888,4, CA,29.0
 4T1BF1FK1HU345088,Toyota,Camry,LE I4 Automatic,2017,121011, Automatic,FWD,Gas,White,Black,0,1,Personaluse,14500,5, NJ,28.5
 3GNTKGE75CG169041,Chevrolet,Avalanche,1500 LTZ 4WD,2012,95550, Automatic,4WD,Gas,White,Beige,0,4,Personaluse,23500,10, TX,18.0
 4T1B11HK9KU731504,Toyota,Camry,SE Automatic,2019,45008, Automatic,FWD,Gas,Black,Black,0,1,Personaluse,25499,3, OK,33.5
 KMHD74LF3LU900761,Hyundai,Elantra,SE 2.0L IVT,2020,40383, Automatic,FWD,Gas,Red,Gray,0,1,Personaluse,18884,2, AR,35.0
 2C4RC1DG8LR144451,Chrysler,Voyager,LXI FWD,2020,63238, Automatic,FWD,Gas,White,Gray,1,3,Personaluse,24997,2, NY,23.5
 1FMCU9G60LUB38968,Ford,Escape,SE AWD,2020,20667, Automatic,AWD,Gas,White,Gray,0,1,Personaluse,26352,2, CA,28.5
 1C4SDJCT4LC145778,Dodge,Durango,R/T AWD,2020,58622, Automatic,AWD,Gas,Blue,Black,0,1,Personaluse,40000,2, TX,18.0
 5NPD84LF0LH541879,Hyundai,Elantra,SEL IVT (SULEV),2020,113577, Automatic,FWD,Gas,Black,Gray,1,1,Personaluse,17500,2, FL,35.0
 NMTKHMBX4JR055342,Toyota,C-HR,XLE Premium FWD,2018,112231, Automatic,FWD,Gas,Silver,Black,2,2,Personaluse,17000,4, CA,29.0
 W1N0G8EB7LF843384,Mercedes-Benz,GLC,GLC 300 SUV 4MATIC,2020,22731, Automatic,RWD,Gas,White,Black,0,1,Personaluse,42000,2, CA,24.5
 1GKLRMEDXAJ234975,GMC,Acadia,FWD 4dr SLT1,2010,92274, Automatic,FWD,Gas,Silver,Gray,0,3,Personaluse,10871,12, NJ,20.5
 3VW267AJ5GM246831,Volkswagen,Jetta,1.4T S Auto,2016,74296, Automatic,FWD,Gas,Red,Black,0,5,Fleetuse,12588,6, TX,33.5
 1FTFX1EF0DFC32755,Ford,F-150,STX SuperCab 6.5' Box 4WD,2013,220346, Automatic,4WD,Gas,Black,Gray,0,3,Personaluse,11910,9, CA,18.5
 2HKRW2H51LH672321,Honda,CR-V,EX AWD,2020,14866, Automatic,AWD,Gas,Black,Gray,0,1,Personaluse,31898,2, TX,29.5
 WA1BNAFYXK2037894,Audi,Q5,Premium Plus,2019,36541, Automatic,AWD,Gas,Black,Black,0,2,Personaluse,37530,3, TX,24.5
 WAU2GAFCXFN024486,Audi,A7,Prestige Sportback 3.0S quattro,2015,73900, Automatic,AWD,Gas,Black,Black,1,2,Personaluse,28500,7, IL,23.0
 MAJ6S3JL7LC350328,Ford,EcoSport,SES 4WD,2020,34023, Automatic,4WD,Gas,Gray,Black,0,1,Fleetuse,23997,2, TX,26.0
 2FMPK4J94KBB03058,Ford,Edge,SEL AWD,2019,59615, Automatic,AWD,Gas,Blue,Black,0,2,Personaluse,25513,3, VA,24.5
 2FMPK3J94LBA70865,Ford,Edge,SEL FWD,2020,43839, Automatic,FWD,Gas,White,Black,1,1,Fleetuse,25500,2, MI,24.0
 JTJHY7AX8H4225512,Lexus,LX,LX 570,2017,32987, Automatic,4WD,Gas,White,Red,0,1,Personaluse,68500,5, VA,15.5
 3N1AB7AP0KY336116,Nissan,Sentra,S Manual,2019,60054, Manual,FWD,Gas,Gray,Black,0,1,Personaluse,15799,3, TX,31.0
 4JGDF6EE6FA466750,Mercedes-Benz,GL,GL 450 4MATIC,2015,69025, Automatic,AWD,Gas,Black,Beige,0,2,Personaluse,28490,7, FL,19.0
 2C4RDGCG0JR298571,Dodge,Grand Caravan,SXT,2018,75472, Automatic,FWD,Gas,Black,Black,0,2,Personaluse,19997,4, OH,21.0
 1G1ZD5ST6LF005309,Chevrolet,Malibu,LT,2020,64508, Automatic,FWD,Gas,Red,Black,0,2,Fleetuse,23497,2, NV,32.5
 WDBFA68F2YF193889,Mercedes-Benz,SL,SL 500,2000,144000, Automatic,RWD,Gas,Black,Black,4,4,Personaluse,8888,22, KS,19.5
 KNDJ33AUXL7715183,Kia,Soul,EX IVT,2020,44350, Automatic,FWD,Gas,Black,Black,0,1,Personaluse,22500,2, CA,30.0
 JN1EV7AR6JM436992,INFINITI,Q50,3.0t LUXE AWD,2018,66750, Automatic,AWD,Gas,White,Beige,0,2,Personaluse,23500,4, NV,23.0
 1C6RRFFGXKN646261,Ram,1500,"Big Horn/Lone Star Crew Cab 5'7"" Box 4WD",2019,39418, Automatic,4WD,Gas,Red,Black,0,1,Personaluse,35819,3, IN,21.5
 JTMDWRFV7LD060295,Toyota,RAV4,Hybrid Limited AWD,2020,14070, Automatic,AWD,Hybrid,Gray,Black,0,1,Personaluse,41774,2, FL,39.5
 1VWBP7A39DC045901,Volkswagen,Passat,SE Sedan 2.5 Auto (PZEV),2013,81370, Automatic,FWD,Gas,Gray,Black,2,3,Fleetuse,12500,9, CA,26.5
 3MZBN1U79JM212852,Mazda,Mazda3,Sport 4-Door Automatic,2018,42250, Automatic,FWD,Gas,Gray,Black,0,2,Personaluse,19500,4, TN,32.5
 5NPE24AF6KH780389,Hyundai,Sonata,SE 2.4L,2019,16168, Automatic,FWD,Gas,Black,Black,0,1,Personaluse,23000,3, FL,30.5
 1C4PJMLX9KD471510,Jeep,Cherokee,Latitude Plus 4WD,2019,28342, Automatic,4WD,Gas,Gray,Black,0,1,Personaluse,27800,3, VA,25.0
 MAJ6P1CL5JC204512,Ford,EcoSport,SES 4WD,2018,26366, Automatic,4WD,Gas,Gray,Black,0,3,Personaluse,21497,4, CA,26.0
 W1N0G8EB3LF779053,Mercedes-Benz,GLC,GLC 300 SUV 4MATIC,2020,39738, Automatic,AWD,Gas,Black,Black,0,3,Fleetuse,38997,2, CA,24.5
 1G1ZE5ST5GF321271,Chevrolet,Malibu,LT with 1LT,2016,95328, Automatic,FWD,Gas,Red,Black,0,3,Personaluse,14750,6, NC,32.0
 2C4RDGCG0LR168762,Dodge,Grand Caravan,SXT Wagon,2020,57581, Automatic,FWD,Gas,Black,Black,0,2,Personaluse,24997,2, FL,21.0
 58ABZ1B16KU019176,Lexus,ES,ES 350,2019,17561, Automatic,FWD,Gas,White,Beige,0,3,Personaluse,38449,3, MI,27.5
 2LMDJ8JK8DBL41910,Lincoln,MKX,AWD,2013,101600, Automatic,AWD,Gas,Black,Black,0,3,Personaluse,15995,9, TX,20.0
 5XYPG4A30KG562536,Kia,Sorento,L I4 FWD,2019,67393, Automatic,FWD,Gas,Black,Black,0,2,Fleetuse,22997,3, TX,25.5
 1FM5K8D80DGA26847,Ford,Explorer,XLT 4WD,2013,125600, Automatic,4WD,Gas,Black,Black,1,5,Personaluse,15500,9, TX,20.0
 2HKRW6H38KH204834,Honda,CR-V,LX AWD,2019,82306, Automatic,AWD,Gas,White,Beige,1,1,Personaluse,24997,3, IL,28.0
 1V2MR2CA1KC516617,Volkswagen,Atlas,V6 SEL 3.6L 4MOTION,2019,34300, Automatic,AWD,Gas,White,Beige,0,1,Personaluse,39500,3, CA,20.0
 5N1AT2MV5KC831634,Nissan,Rogue,S AWD,2019,19609, Automatic,AWD,Gas,Blue,Black,0,1,Personaluse,25995,3, CA,28.5
 5N1AT2MT3KC749769,Nissan,Rogue,SL FWD,2019,63312, Automatic,FWD,Gas,Black,Black,1,2,Personaluse,21421,3, TX,29.5
 3LN6L5C90KR629717,Lincoln,MKZ,Reserve I FWD,2019,48446, Automatic,FWD,Gas,White,Beige,2,1,Personaluse,27000,3, CA,25.5
 WDD3G4FBXKW026216,Mercedes-Benz,A-Class,A 220 4MATIC,2019,17101, Automatic,AWD,Gas,Black,Beige,0,1,Personaluse,34500,3, TX,29.0
 5J6RW2H59LA001898,Honda,CR-V,EX AWD,2020,41651, Automatic,AWD,Gas,White,Gray,0,1,Personaluse,30806,2, SC,29.5
 3GKALVEVXJL368451,GMC,Terrain,SLT AWD,2018,63020, Automatic,AWD,Gas,Black,Black,0,1,Personaluse,24000,4, FL,26.0
 3N1AB7AP1KY273088,Nissan,Sentra,SV CVT,2019,77420, Automatic,FWD,Gas,Black,Black,0,2,Personaluse,15495,3, TX,33.0
 1HGCV1F19KA006091,Honda,Accord,LX 1.5T CVT,2019,22318, Automatic,FWD,Hybrid,Black,Black,0,1,Personaluse,24500,3, VA,47.5
 1FM5K8D89FGB64096,Ford,Explorer,XLT 4WD,2015,89843, Automatic,4WD,Gas,White,Black,1,1,Personaluse,20997,7, KY,20.0
 1C4PJMDX3LD587625,Jeep,Cherokee,Limited 4WD,2020,68044, Automatic,4WD,Gas,Silver,Black,0,1,Personaluse,27798,2, OK,23.0
 5XXGT4L3XKG373826,Kia,Optima,S,2019,31500, Automatic,FWD,Gas,White,Black,0,1,Personaluse,24995,3, VA,28.5
 1FTFW1ET1EKE95306,Ford,F-150,Limited SuperCrew 5.5' Box 4WD,2014,57403, Automatic,4WD,Gas,White,Black,0,3,Personaluse,30500,8, WA,18.0
 5TDYK3DC9CS218474,Toyota,Sienna,Limited 7-Passenger FWD,2012,111313, Automatic,FWD,Gas,Gray,Gray,0,1,Personaluse,18500,10, LA,21.0
 5YFEPRAE7LP091228,Toyota,Corolla,LE CVT,2020,42514, Automatic,FWD,Gas,Blue,Black,0,1,Personaluse,20495,2, NY,34.0
 2T3BFREV2JW718680,Toyota,RAV4,LE AWD,2018,35391, Automatic,AWD,Gas,Red,Black,0,2,Personaluse,23987,4, TX,25.0
 1GCVKREH7EZ132615,Chevrolet,Silverado 1500,LT with 1LT Double Cab Standard Box 4WD,2014,140995, Automatic,4WD,Gas,Silver,Black,0,1,Personaluse,18995,8, TX,19.5
 1C6SRFFTXLN264649,Ram,1500,"Big Horn Crew Cab 5'7"" Box 4WD",2020,13895, Automatic,4WD,Gas,Gray,Black,0,1,Personaluse,45000,2, TN,21.5
 3N1AB7AP9JY286752,Nissan,Sentra,SV CVT,2018,68398, Automatic,FWD,Gas,Gray,Black,0,1,Personaluse,16995,4, TX,33.0
 5N1AT2MV8KC709432,Nissan,Rogue,SL AWD,2019,50464, Automatic,AWD,Gas,White,Gray,0,1,Personaluse,27640,3, WA,28.5
 1FTFX1EF6EKD75704,Ford,F-150,XLT SuperCab 8.0' Box 4WD,2014,151619, Automatic,4WD,Gas,White,Gray,0,1,Personaluse,16990,8, FL,16.5
 JN8AT2MTXLW040331,Nissan,Rogue,SV FWD,2020,20027, Automatic,FWD,Gas,Silver,Black,2,1,Personaluse,26995,2, FL,29.5
 2GNAXXEV5K6255502,Chevrolet,Equinox,Premier with 1LZ AWD,2019,83398, Automatic,AWD,Gas,Black,Black,1,1,Personaluse,23995,3, TX,27.5
 2HKRW2H82KH621435,Honda,CR-V,EX-L AWD,2019,36350, Automatic,AWD,Gas,White,Black,0,2,Personaluse,30489,3, OH,30.0
 3N1CN7AP5KL864411,Nissan,Versa,SV Sedan CVT,2019,45936, Automatic,FWD,Gas,Blue,Black,0,2,Personaluse,14977,3, KS,35.0
 19XFC2F6XKE049189,Honda,Civic,LX Sedan CVT,2019,48397, Automatic,FWD,Gas,Gray,Black,0,2,Personaluse,21739,3, TX,34.0
 4T1B11HKXKU218892,Toyota,Camry,SE Automatic,2019,28249, Automatic,FWD,Gas,White,Black,0,1,Personaluse,28000,3, UT,33.5
 KNDPMCACXK7498795,Kia,Sportage,LX AWD,2019,43979, Automatic,AWD,Gas,Red,Gray,0,1,Personaluse,20239,3, VA,23.0
 5TDJZRFH3JS560900,Toyota,Highlander,XLE V6 AWD,2018,37097, Automatic,AWD,Gas,White,Black,0,1,Personaluse,34500,4, FL,23.0
 5NPE24AF5JH679083,Hyundai,Sonata,SE 2.4L (SULEV),2018,84094, Automatic,FWD,Gas,Black,Black,0,1,Personaluse,17500,4, AL,30.5
 3GNFK22039G277903,Chevrolet,Avalanche,1500 LT with 1LT 4WD,2009,71600, Automatic,4WD,Gas,Red,Black,0,2,Personaluse,17995,13, TX,16.5
 1FT8X3B64GEA54934,Ford,Super Duty F-350,"XLT SuperCab 142"" 4WD",2016,40550, Automatic,4WD,Gas,Black,Black,0,2,Personaluse,42000,6, GA,22.0
 58ABK1GG7GU031412,Lexus,ES,ES 350,2016,24105, Automatic,FWD,Gas,Red,Black,0,2,Personaluse,29500,6, AZ,26.0
 WBXHT3Z39G4A50834,BMW,X1,xDrive28i AWD,2016,47258, Automatic,AWD,Gas,Black,Beige,0,2,Personaluse,25309,6, NJ,27.0
 1FMSK8DH9MGC49732,Ford,Explorer,XLT 4WD,2021,5970, Automatic,4WD,Gas,Black,Black,0,1,Personaluse,40932,1, PA,23.5
 5N1DR2MM3KC630933,Nissan,Pathfinder,SL 4WD,2019,51004, Automatic,4WD,Gas,Gray,Black,0,2,Fleetuse,26991,3, FL,22.5
