,VIN,brand,model,trim,manufacture_year,mileage,MPG_city,MPG_highway,transmission,drive_type,fuel_type,exterior_color,interior_color,accidents,owners,car_usage_type,price,car_age,state
9017, JHLRW2H53KX004803,Honda,CR-V,EX AWD,2019,67868,28.0,34.0, Automatic,AWD,Gas,White,Black,0,3,Fleetuse,27590,3, FL
9018, 1LNHL9DK9GG602788,Lincoln,MKS,3.7L FWD,2016,52268,17.0,26.0, Automatic,FWD,Gas,Red,Beige,0,3,Personaluse,21998,6, TX
9019, JTJBJRBZ5K2114182,Lexus,NX,NX 300h AWD,2019,32001,30.0,33.0, Automatic,AWD,Hybrid,Black,Black,0,1,Personaluse,38998,3, CA
9020, 1G1ZF5SX3GF310995,Chevrolet,Malibu,LT with 2LT,2016,58085,22.0,33.0, Automatic,FWD,Gas,White,Black,0,3,Fleetuse,19998,6, CO
9021, 1FM5K8D82HGA48399,Ford,Explorer,XLT 4WD,2017,49979,16.0,23.0, Automatic,4WD,Gas,Gray,Black,0,1,Personaluse,28440,5, NJ
9022, JN1CV6AP9DM721836,INFINITI,G,G37 Journey Sedan RWD Automatic,2013,88980,19.0,27.0, Automatic,RWD,Gas,Black,Gray,0,3,Personaluse,17990,9, TX
9023, JA4AD3A32GZ008796,Mitsubishi,Outlander,SE FWD,2016,88071,25.0,31.0, Automatic,FWD,Gas,Black,Black,0,1,Personaluse,16590,6, NY
9024, 4T1F11AK2LU870421,Toyota,Camry,XLE FWD Automatic,2020,8545,27.0,38.0, Automatic,FWD,Gas,Silver,Gray,0,1,Personaluse,33998,2, FL
9025, 4T1B11HK5JU637456,Toyota,Camry,LE I4 Automatic,2018,17902,28.0,39.0, Automatic,FWD,Gas,Blue,Beige,0,1,Personaluse,25700,4, CA
9026, 4T1BF3EK4BU727295,Toyota,Camry,LE I4 Automatic,2011,84578,22.0,32.0, Automatic,FWD,Gas,Green,Beige,0,2,Personaluse,14590,11, TX
9027, 3FMCR9C62MRA38063,Ford,Bronco Sport,Outer Banks,2021,3712,25.0,28.0, Automatic,4WD,Gas,Gray,Blue,0,1,Personaluse,38712,1, AZ
9028, SADCK2GX4KA392746,Jaguar,F-PACE,Prestige 30t,2019,63819,22.0,27.0, Automatic,AWD,Gas,Gray,Black,0,3,Personaluse,36998,3, NY
9029, 3VWG57AU6KM017666,Volkswagen,Golf,S FWD Auto,2019,52982,29.0,37.0, Automatic,FWD,Gas,Red,Black,0,1,Fleetuse,19998,3, IA
9030, WBA8E9G57GNT82001,BMW,3 ,328i Sedan RWD (SULEV),2016,46191,23.0,35.0, Automatic,RWD,Gas,Silver,Black,0,2,Personaluse,23990,6, FL
9031, 1FTEW1EP8KFB45108,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,2019,34554,18.0,23.0, Automatic,4WD,Gas,Blue,Black,0,1,Personaluse,44778,3, GA
9032, 2C3CCABG3LH131397,Chrysler,300,S RWD,2020,51189,19.0,30.0, Automatic,RWD,Gas,Gray,Black,0,1,Fleetuse,28998,2, MD
9033, 7JRA22TL2KG001937,Volvo,S60,T6 Inscription AWD,2019,24608,24.0,36.0, Automatic,AWD,Gas,Blue,Black,0,1,Personaluse,37500,3, GA
9034, 1G1FW6S04H4182193,Chevrolet,Bolt EV,LT,2017,21053,110.0,128.0, Automatic,FWD,Electric,Blue,Gray,0,1,Personaluse,24990,5, WA
9035, JTMRWRFV1KD004177,Toyota,RAV4,Hybrid XLE AWD,2019,29637,38.0,41.0, Automatic,AWD,Hybrid,White,Black,0,2,Personaluse,36990,3, TX
9036, 1C4HJXFG8JW246676,Jeep,Wrangler,Unlimited Rubicon (JL),2018,27767,17.0,23.0, Manual,4WD,Gas,Black,Black,0,1,Personaluse,43499,4, NC
9037, 2HGFC3B90HH351806,Honda,Civic,Touring Coupe CVT,2017,42536,31.0,40.0, Automatic,FWD,Gas,Gray,Black,0,2,Personaluse,24998,5, TX
9038, 1GCGTDEN1J1155427,Chevrolet,Colorado,Z71 Crew Cab Short Box 4WD Automatic,2018,47249,17.0,24.0, Automatic,4WD,Gas,Blue,Black,0,1,Personaluse,34500,4, TX
9039, 3GKALVEX0JL284379,GMC,Terrain,SLT AWD,2018,69385,24.0,28.0, Automatic,AWD,Gas,Silver,Gray,0,2,Fleetuse,24998,4, AZ
9040, 5N1DL0MN6LC532298,INFINITI,QX60,PURE FWD,2020,45012,20.0,27.0, Automatic,FWD,Gas,Blue,Gray,0,2,Fleetuse,31590,2, OH
9041, JTJAARBZ8L5001144,Lexus,NX,NX 300 FWD,2020,11946,22.0,28.0, Automatic,FWD,Gas,White,Beige,0,1,Personaluse,39590,2, FL
9042, 1C4BJWEG9GL174947,Jeep,Wrangler,Unlimited Sahara,2016,18889,16.0,21.0, Automatic,4WD,Gas,Gray,Brown,0,1,Personaluse,37990,6, ND
9043, WUABWGFF6KA900283,Audi,RS 3,Sedan,2019,8208,19.0,28.0, Automatic,AWD,Gas,Black,Black,0,1,Personaluse,65998,3, AZ
9044, ZACCJBDB6HPG57635,Jeep,Renegade,Limited 4WD,2017,26160,21.0,29.0, Automatic,4WD,Gas,Black,Black,1,3,Personaluse,24998,5, CO
9045, WBA7E4C57KGV70177,BMW,7 ,740i xDrive,2019,42864,20.0,29.0, Automatic,AWD,Gas,Black,Black,0,1,Personaluse,49995,3, MO
9046, JM3KFBEY7M0351700,Mazda,CX-5,Signature AWD,2021,15534,22.0,27.0, Automatic,AWD,Gas,White,Brown,0,1,Personaluse,37998,1, TX
9047, 4T1B11HK9JU619719,Toyota,Camry,LE I4 Automatic,2018,55308,28.0,39.0, Automatic,FWD,Gas,Gray,Black,0,1,Personaluse,23333,4, FL
9048, 1FTEW1CM3BFC85768,Ford,F-150,XL SuperCrew 5.5' Box 2WD,2011,81726,17.0,23.0, Automatic,RWD,Gas,White,Gray,0,1,Personaluse,20990,11, CA
9049, 2T1BURHE8KC228368,Toyota,Corolla,LE CVT,2019,28303,28.0,36.0, Automatic,FWD,Gas,White,Gray,0,1,Personaluse,21990,3, UT
9050, 1GCPWCED9LZ223633,Chevrolet,Silverado 1500,LT Crew Cab Short Bed 2WD,2020,62564,20.0,23.0, Automatic,RWD,Gas,White,Black,0,3,Fleetuse,36990,2, CA
