,VIN,brand,model,trim,manufacture_year,mileage,MPG_city,MPG_highway,transmission,drive_type,fuel_type,exterior_color,interior_color,accidents,owners,car_usage_type,location,price
2108, JTHBK1GG6D2051376,Lexus,['ES'],ES 350,2013,"211,937",21,31, Automatic, FWD,Gas,White,Unknown,2,2, Personal use,"Newport News, VA","11,495"
2109, 2G1115S36G9157031,Chevrolet,['Impala'],LT with 2LT,2016,"121,068",19,29, Automatic, FWD,Gas,Red,Black,2,1, Personal use,"Colorado Springs, CO","15,000"
2110, 1N4AL3AP1EN355588,Nissan,['Altima'],2.5 S,2014,"47,883",27,38, Automatic, FWD,Gas,White,Black,0,1, Personal use,"DeSoto, TX","15,990"
2111, 4T1C11AK7LU917137,Toyota,['Camry'],LE FWD Automatic,2020,"56,379",28,39, Automatic, FWD,Gas,White,Unknown,0,1, Fleet use,"Brownsville, TX","24,998"
2112, WBXHT3C34GP885566,BMW,['X1'],xDrive28i AWD,2016,"55,757",22,32, Automatic, AWD,Gas,White,Brown,0,2, Fleet use,"Abilene, TX","24,998"
2113, 1C6SRFET5KN860901,Ram,['1500'],"Rebel Quad Cab 6'4"" Box 4WD",2019,"89,929",19,24, Automatic, 4WD,Gas,Gray,Black,0,2, Fleet use,"Arlington, TX","34,800"
2114, 1FATP8UH5L5121434,Ford,['Mustang'],EcoBoost Premium Convertible,2020,"53,334",20,28, Automatic, RWD,Gas,Gray,Black,0,2, Fleet use,"Kyle, TX","28,998"
2115, 2C4RC1BG9GR294187,Chrysler,"['Town', '&', 'Country']",Touring,2016,"85,136",17,25, Automatic, FWD,Gas,White,Black,0,2, Personal use,"San Juan, TX","17,688"
2116, WA1ANAFY5J2094336,Audi,['Q5'],Premium Summer of Audi,2018,"28,990",23,27, Automatic, AWD,Gas,Gray,Black,1,2, Fleet use,"Dunbar, PA","33,998"
2117, 5N1DL0MM9KC548386,INFINITI,['QX60'],2019.5 LUXE AWD,2019,"39,745",,,,,,Silver,Gray,0,1, Personal use,"Fayetteville, NC","34,990"
2118, 3C4NJDCB0KT666000,Jeep,['Compass'],Limited 4WD,2019,"31,248",22,30, Automatic, 4WD,Gas,Black,Black,0,1, Personal use,"West Palm Beach, FL","24,990"
2119, 3KPF24AD4LE152534,Kia,['Forte'],LXS IVT,2020,"69,050",29,40, Automatic, FWD,Gas,Gray,Black,0,1, Fleet use,"Weatherford, TX","20,997"
2120, 2GNAXSEV9J6163598,Chevrolet,['Equinox'],LT with 1LT AWD,2018,"51,553",24,30, Automatic, AWD,Gas,White,Black,0,2, Fleet use,"Seffner, FL","24,175"
2121, WBA7F2C53GG420592,BMW,"['7', 'Series']",750i xDrive,2016,"56,749",16,25, Automatic, AWD,Gas,Brown,White,0,2, Personal use,"Van Nuys, CA","40,385"
2122, 2LMHJ5AT4KBL03337,Lincoln,['MKT'],Reserve 3.5L AWD,2019,"50,307",15,21, Automatic, AWD,Gas,Gray,Black,0,2, Personal use,"Post Falls, ID","30,998"
2123, 1C4RJFBG7KC703971,Jeep,"['Grand', 'Cherokee']",Limited 4WD,2019,"55,728",18,25, Automatic, 4WD,Gas,White,Black,0,1, Fleet use,"Columbus, OH","30,990"
2124, 1C6RREBT3MN709183,Ram,['1500'],"Lone Star Quad Cab 6'4"" Box 2WD",2021,"18,404",20,25, Automatic, RWD,Gas,White,Black,0,1, Personal use,"Chandler, AZ","38,998"
2125, W1N0G8EB6MV316671,Mercedes-Benz,['GLC'],GLC 300 SUV 4MATIC,2021,"7,876",,,,,,White,Beige,0,1, Personal use,"Wichita Falls, TX","46,900"
2126, 4T1C11AK0NU639104,Toyota,['Camry'],LE Automatic FWD,2022,"5,539",28,39, Automatic, FWD,Gas,Red,Black,1,1, Personal use,"Tyler, TX","28,000"
2127, 1G1ZE5ST2GF341896,Chevrolet,['Malibu'],LT with 1LT,2016,"49,043",27,37, Automatic, FWD,Gas,White,Black,0,2, Personal use,"San Bernardino, CA","18,590"
2128, WA1LFAFP1EA037902,Audi,['Q5'],Premium Plus 2.0T quattro,2014,"96,222",20,28, Automatic, AWD,Gas,Black,Black,0,2, Personal use,"Luverne, MN","16,594"
