,VIN,brand,model,trim,manufacture_year,mileage,MPG_city,MPG_highway,transmission,drive_type,fuel_type,exterior_color,interior_color,accidents,owners,car_usage_type,location,price
0, 5FPYK3F6XHB002417,Honda,['Ridgeline'],RTL-T AWD,2017,"101,576",18,25, Automatic, AWD,Gas,Silver,Gray,0,3, Personal use,"Kokomo, IN","25,499"
1, JTDKN3DP4C3008964,Toyota,['Prius'],Plug-in Hybrid Advanced,2012,"65,082",49,51, Automatic, FWD,Hybrid,Gray,Gray,0,1, Personal use,"Norco, CA","20,990"
2, SADCJ2FX7JA258056,Jaguar,['F-PACE'],Premium 25t,2018,"29,717",22,27, Automatic, AWD,Gas,White,Black,0,1, Personal use,"Salisbury, NC","38,625"
3, 3FA6P0HR3DR138619,Ford,['Fusion'],SE FWD,2013,"154,044",22,34, Automatic, FWD,Gas,White,Black,0,2, Personal use,"Roseville, CA","7,399"
4, JTJHT00WX64011715,Lexus,['LX'],LX 470,2006,"224,550",13,17, Automatic, 4WD,Gas,Black,Unknown,1,1, Personal use,"Blackfoot, ID","14,500"
5, 5N1AT2MT1KC770345,Nissan,['Rogue'],S FWD,2019,"151,343",26,33, Automatic, FWD,Gas,Gray,Black,1,1, Personal use,"Boise, ID","13,881"
6, WDDHF8JB5EA812014,Mercedes-Benz,['E-Class'],E 350 4MATIC Luxury Sedan,2014,"104,220",21,29, Automatic, AWD,Gas,White,Black,1,3, Personal use,"Plano, TX","17,995"
7, 1FTMF1CM9DKD84939,Ford,['F-150'],STX Reg Cab 6.5' Box 2WD,2013,"165,239",17,23, Automatic, RWD,Gas,White,Unknown,2,3, Fleet use,"Carrollton, GA","9,995"
8, 2C4RDGCG3KR544465,Dodge,"['Grand', 'Caravan']",SXT,2019,"18,467",17,25, Automatic, FWD,Gas,White,Black,1,4, Fleet use,"Lubbock, TX","26,000"
9, KNMAT2MV7KP553686,Nissan,['Rogue'],SV AWD,2019,"65,126",25,32, Automatic, AWD,Gas,Black,Black,0,1, Fleet use,"Abilene, TX","22,997"
10, 5GRGN23U96H117949,HUMMER,['H2'],SUV,2006,"159,950",,, Automatic, 4WD,Gas,Unknown,Black,0,2, Personal use,"Bradenton, FL","16,995"
11, 2T2BZMCAXKC211754,Lexus,['RX'],RX 350 AWD,2019,"14,150",19,26, Automatic, AWD,Gas,Gray,Black,0,2, Personal use,"Sugar Land, TX","41,000"
12, WDBPJ75J43A035112,Mercedes-Benz,['CL'],CL 500,2003,"56,995",16,22, Automatic, RWD,Gas,Silver,Gray,0,4, Personal use,"Castroville, TX","12,500"
13, 5NMZTDLB8HH030314,Hyundai,"['Santa', 'Fe', 'Sport']",Base 2.4L AWD,2017,"118,822",20,26, Automatic, AWD,Gas,White,Gray,1,2, Personal use,"Las Vegas, NV","14,500"
14, 1C6RR7VMXGS219510,Ram,['1500'],"Laramie Crew Cab 6'4"" Box 4WD",2016,"158,145",15,21, Automatic, 4WD,Diesel,White,Beige,1,2, Personal use,"Santa Rosa, CA","20,995"
15, 1C4RJFDJXKC774610,Jeep,"['Grand', 'Cherokee']",SRT 4WD,2019,"43,138",13,19, Automatic, 4WD,Gas,Gray,Black,0,1, Personal use,"Austin, TX","62,997"
16, 1C4RJFCT1KC590109,Jeep,"['Grand', 'Cherokee']",High Altitude 4WD,2019,"16,605",18,25, Automatic, 4WD,Gas,Black,Black,0,1, Personal use,"Fredericksburg, VA","43,854"
17, JTDEPRAE3LJ047120,Toyota,['Corolla'],LE CVT,2020,"56,730",30,38, Automatic, FWD,Gas,Gray,Black,1,1, Fleet use,"Dade City, FL","19,500"
18, WDDNG9EB2CA481812,Mercedes-Benz,['S-Class'],S 550 4MATIC Sedan,2012,"182,000",15,24, Automatic, AWD,Gas,Silver,Black,1,3, Personal use,"Albuquerque, NM","13,500"
19, 1FM5K8D89JGA77453,Ford,['Explorer'],XLT 4WD,2018,"49,893",16,22, Automatic, 4WD,Gas,Silver,Black,0,1, Personal use,"Plano, TX","29,000"
20, 3C4NJDDB6JT198691,Jeep,['Compass'],Trailhawk 4WD,2018,"102,534",22,30, Automatic, 4WD,Gas,Gray,Red,2,1, Personal use,"Sebring, FL","18,503"
21, 1FMCU9GD1KUB82216,Ford,['Escape'],SE AWD,2019,"61,127",22,28, Automatic, 4WD,Gas,White,Gray,0,2, Fleet use,"Colorado Springs, CO","21,054"
22, JTHFN48Y640054260,Lexus,['SC'],SC 430 Convertible,2004,"140,250",18,23, Automatic, RWD,Gas,Black,Black,0,1, Personal use,"Dallas, TX","14,250"
23, 5UXCR6C53KLL08762,BMW,['X5'],xDrive40i,2019,"57,091",20,26, Automatic, AWD,Gas,White,Beige,0,1, Personal use,"Pasadena, TX","47,177"
24, 5NPD84LF5HH058119,Hyundai,['Elantra'],SE 2.0L Sedan Automatic (alt),2017,"170,905",29,38, Automatic, FWD,Gas,White,Gray,0,1, Personal use,"Sanford, FL","9,500"
25, 1C4PJMDN7KD364775,Jeep,['Cherokee'],Limited 4WD,2019,"44,779",19,27, Automatic, 4WD,Gas,White,Black,0,1, Personal use,"Belton, TX","27,453"
26, W1N0G8EB0MF870492,Mercedes-Benz,['GLC'],GLC 300 SUV 4MATIC,2021,"11,935",,,,,,White,Black,0,1, Personal use,"Carrollton, GA","45,000"
27, 1C4RJFBG9EC124579,Jeep,"['Grand', 'Cherokee']",Limited 4WD,2014,"110,200",17,24, Automatic, 4WD,Gas,White,Black,0,2, Personal use,"Live Oak, FL","18,500"
28, JTHBJ46G272037372,Lexus,['ES'],ES 350,2007,"79,400",21,30, Automatic, FWD,Gas,Silver,Black,0,3, Personal use,"Grand Rapids, MI","12,995"
29, 5TFUW5F12GX509960,Toyota,['Tundra'],SR5 Double Cab 6.5' Bed Flex Fuel 5.7L V8 4WD,2016,"177,850",13,17, Automatic, 4WD,Gas,White,Black,1,2, Personal use,"San Antonio, TX","20,995"
30, 2HGFC2F74JH549412,Honda,['Civic'],EX Sedan CVT,2018,"130,000",31,40, Automatic, FWD,Gas,Black,Black,0,1, Personal use,"Fargo, ND","17,500"
31, 1FMSK8DH7MGB77199,Ford,['Explorer'],XLT 4WD,2021,"10,068",20,27, Automatic, 4WD,Gas,Black,Black,0,1, Personal use,"Sterling Heights, MI","36,500"
32, 1N4BL4BV6LC230912,Nissan,['Altima'],2.5 S FWD,2020,"31,155",28,39, Automatic, FWD,Gas,Silver,Black,0,1, Personal use,"Greensboro, NC","23,995"
33, 1G1P75SZ0E7100786,Chevrolet,['Cruze'],Diesel Automatic,2014,"119,500",27,46, Automatic, FWD,Diesel,Blue,Brown,0,3, Fleet use,"Safford, AZ","9,995"
34, 3N1AB7AP1KY333385,Nissan,['Sentra'],SV CVT,2019,"84,322",29,37, Automatic, FWD,Gas,White,Black,0,1, Fleet use,"Boise, ID","17,997"
35, 5YFBURHE3HP586390,Toyota,['Corolla'],L CVT,2017,"79,051",28,36, Automatic, FWD,Gas,Black,Gray,0,2, Personal use,"Grand Rapids, MI","16,700"
36, WBAFR7C57BC801703,BMW,"['5', 'Series']",535i Sedan,2011,"109,800",19,28, Automatic, RWD,Gas,Gray,Black,2,4, Personal use,"Albuquerque, NM","13,500"
37, 5NPD84LF4LH569362,Hyundai,['Elantra'],SEL 2.0L IVT,2020,"69,716",30,40, Automatic, FWD,Gas,Red,Gray,0,1, Personal use,"Blackfoot, ID","20,000"
38, JTHBK1EG5A2405760,Lexus,['ES'],ES 350,2010,"81,700",19,27, Automatic, FWD,Gas,Silver,Black,0,2, Personal use,"Fort Worth, TX","14,999"
39, JTMP1RFV3KD501303,Toyota,['RAV4'],XLE AWD,2019,"61,794",25,33, Automatic, AWD,Gas,Black,Gray,0,2, Fleet use,"Longview, TX","28,310"
40, WBA4J3C56JBB97608,BMW,"['4', 'Series']",430i xDrive Gran Coupe,2018,"47,950",23,33, Automatic, AWD,Gas,Black,Brown,0,1, Personal use,"Abilene, TX","28,888"
41, 5UXCW2C08M9E18635,BMW,['X7'],xDrive40i,2021,"55,500",19,24, Automatic, AWD,Gas,Blue,Brown,0,1, Personal use,"Albuquerque, NM","63,995"
42, 2T3P1RFV6KW029469,Toyota,['RAV4'],XLE AWD,2019,"53,016",25,33, Automatic, AWD,Gas,Gray,Black,0,2, Fleet use,"Midwest City, OK","28,200"
43, 1FTEW1EP9JFD83967,Ford,['F-150'],XLT SuperCrew 5.5' Box 4WD,2018,"48,801",18,23, Automatic, 4WD,Gas,Black,Gray,0,2, Personal use,"Avondale, AZ","35,299"
44, JTHFN48YX30048511,Lexus,['SC'],SC 430 Convertible,2003,"77,800",18,23, Automatic, RWD,Gas,Silver,Unknown,0,2, Personal use,"Jacksonville, FL","17,250"
45, 1C4RJFLG1LC347565,Jeep,"['Grand', 'Cherokee']",Trailhawk 4WD,2020,"65,998",18,25, Automatic, 4WD,Gas,Silver,Black,0,1, Personal use,"Ft. Worth, TX","36,998"
46, 3N1AB7AP0KY254032,Nissan,['Sentra'],SV CVT,2019,"19,236",29,37, Automatic, FWD,Gas,White,Black,0,1, Personal use,"Jacksonville, FL","19,639"
47, 1C4PJMLX6KD481198,Jeep,['Cherokee'],Altitude 4WD,2019,"30,484",,,,,,Gray,Black,0,2, Personal use,"Shamokin Dam, PA","27,900"
48, WBXHT3C32J5K24394,BMW,['X1'],xDrive28i AWD,2018,"37,183",22,31, Automatic, AWD,Gas,Silver,Black,0,2, Personal use,"Columbus, GA","27,997"
49, 2FMPK4J95KBC61165,Ford,['Edge'],SEL AWD,2019,"49,495",21,28, Automatic, AWD,Gas,Black,Black,1,1, Personal use,"Davie, FL","26,420"
50, 1GNERGKW8KJ108120,Chevrolet,['Traverse'],LT Cloth with 1LT FWD,2019,"29,923",18,27, Automatic, FWD,Gas,Gray,Black,0,1, Personal use,"Tomball, TX","31,971"
51, 1FMCU0J97HUE55037,Ford,['Escape'],Titanium FWD,2017,"69,503",23,30, Automatic, FWD,Gas,White,Black,0,2, Personal use,"Hudson, WI","18,999"
52, 1C4RJFBG6KC728148,Jeep,"['Grand', 'Cherokee']",Limited 4WD,2019,"31,135",18,25, Automatic, 4WD,Gas,Black,Black,0,1, Fleet use,"Fuquay Varina, NC","33,689"
53, 1FTEW1EP8JFC72763,Ford,['F-150'],XLT SuperCrew 5.5' Box 4WD,2018,"45,125",,,,,,Red,Gray,0,2, Personal use,"San Jose, CA","35,000"
54, 1C4HJWFG8EL327016,Jeep,['Wrangler'],Unlimited Rubicon,2014,"162,300",16,21, Automatic, 4WD,Gas,White,Black,0,2, Personal use,"Garland, TX","22,500"
55, 1FTEW1EP1JFA92332,Ford,['F-150'],XLT SuperCrew 5.5' Box 4WD,2018,"40,517",18,23, Automatic, 4WD,Gas,White,Black,0,1, Personal use,"Avondale, AZ","35,929"
56, 2T3J1RFV0KC002629,Toyota,['RAV4'],Adventure AWD,2019,"10,141",25,33, Automatic, AWD,Gas,Red,Unknown,0,2, Personal use,"Santa Rosa, CA","35,600"
57, 1FTFX1EG0HFA60919,Ford,['F-150'],Lariat SuperCab 6.5' Box 4WD,2017,"133,479",18,23, Automatic, 4WD,Gas,White,Unknown,1,1, Fleet use,"Selma, TX","21,921"
58, 1C4RJFBG3KC591170,Jeep,"['Grand', 'Cherokee']",Limited 4WD,2019,"41,303",18,25, Automatic, 4WD,Gas,White,Black,0,2, Personal use,"Conroe, TX","32,989"
59, 4JGDA5HB6CA010768,Mercedes-Benz,['M-Class'],ML 350 4MATIC,2012,"83,891",17,22, Automatic, AWD,Gas,Silver,Black,0,2, Personal use,"Austin, TX","17,990"
60, 2HKRM4H53GH653390,Honda,['CR-V'],EX AWD,2016,"73,599",25,31, Automatic, AWD,Gas,Black,Black,0,1, Personal use,"Lubbock, TX","20,500"
61, 2GNAXKEV3K6169835,Chevrolet,['Equinox'],LT with 1LT FWD,2019,"16,500",26,32, Automatic, FWD,Gas,Silver,Black,0,1, Personal use,"West Palm Beach, FL","22,000"
62, 1FM5K8GT0GGA82114,Ford,['Explorer'],Sport 4WD,2016,"51,974",16,22, Automatic, 4WD,Gas,Black,Black,0,2, Personal use,"Boardman, OH","27,900"
63, 1C4SDJCT9KC549190,Dodge,['Durango'],R/T AWD,2019,"87,765",14,22, Automatic, AWD,Gas,Gray,Black,0,1, Personal use,"Roseville, CA","32,927"
64, KL4CJASB7KB904329,Buick,['Encore'],Preferred FWD,2019,"81,376",25,30, Automatic, FWD,Gas,White,Black,0,1, Personal use,"Mount Kisco, NY","19,997"
65, 1N4AL3AP3HC171348,Nissan,['Altima'],2.5 SV,2017,"151,208",27,39, Automatic, FWD,Gas,Gray,Black,0,2, Personal use,"Grand Rapids, MI","11,000"
66, 1FM5K8F81EGC59778,Ford,['Explorer'],Limited 4WD,2014,"98,200",17,23, Automatic, 4WD,Gas,Black,Black,0,2, Personal use,"Newport Beach, CA","19,500"
67, 5XXGW4L24GG094152,Kia,['Optima'],SX Turbo,2016,"122,100",22,32, Automatic, FWD,Gas,White,Black,0,2, Personal use,"Lubbock, TX","15,995"
68, JN8AT2MV2LW117940,Nissan,['Rogue'],SV AWD,2020,"76,006",25,32, Automatic, AWD,Gas,Gray,Black,1,1, Personal use,"San Antonio, TX","23,997"
69, 3FA6P0HD4KR228167,Ford,['Fusion'],SE FWD,2019,"12,617",23,34, Automatic, FWD,Gas,White,Gray,0,1, Fleet use,"Midlothian, TX","21,689"
70, JTJHY7AX8B4073318,Lexus,['LX'],LX 570,2011,"150,099",12,18, Automatic, 4WD,Gas,Silver,Unknown,0,1, Personal use,"Pottsville, PA","27,500"
71, 2C4RDGEGXKR616999,Dodge,"['Grand', 'Caravan']",GT,2019,"60,358",17,25, Automatic, FWD,Gas,Black,Black,0,2, Fleet use,"Pasadena, TX","22,997"
72, 1C6RR7YT5HS738310,Ram,['1500'],"Rebel Crew Cab 5'7"" Box 4WD",2017,"92,754",16,23, Automatic, 4WD,Gas,White,Black,0,2, Personal use,"Houston, TX","30,991"
73, 1FTEW1EP6KKF24910,Ford,['F-150'],XLT SuperCrew 5.5' Box 4WD,2019,"15,589",18,23, Automatic, 4WD,Gas,Silver,Black,0,1, Personal use,"Bourbonnais, IL","42,639"
74, 3GCUYEEL0MG321452,Chevrolet,"['Silverado', '1500']",RST Crew Cab Short Bed 4WD,2021,"15,975",19,22, Automatic, 4WD,Gas,Black,Black,0,1, Personal use,"Sebring, FL","49,800"
75, 1C4RJFLG6LC289176,Jeep,"['Grand', 'Cherokee']",Trailhawk 4WD,2020,"64,165",,,,,,Black,Black,0,1, Personal use,"Milton, FL","37,400"
76, 1C4PJMLB2KD430771,Jeep,['Cherokee'],Latitude Plus 4WD,2019,"28,469",21,29, Automatic, 4WD,Gas,Silver,Black,0,2, Personal use,"Beaverton, OR","25,800"
77, 1G1PE5SB6G7108838,Chevrolet,"['Cruze', 'Limited']",Limited LT with 1LT Sedan AT,2016,"101,204",26,38, Automatic, FWD,Gas,Gray,Black,1,2, Personal use,"Tomball, TX","10,999"
78, 5UXCW2C52KL081601,BMW,['X7'],xDrive40i,2019,"47,655",,,,,,White,Brown,0,1, Personal use,"Lubbock, TX","63,052"
79, 4T1M11AKXLU391235,Toyota,['Camry'],SE FWD Automatic,2020,"30,612",28,39, Automatic, FWD,Gas,Silver,Black,0,1, Personal use,"Boise, ID","27,700"
80, 2HKRW2H53LH692683,Honda,['CR-V'],EX AWD,2020,"27,619",27,32, Automatic, AWD,Gas,Black,Black,0,1, Personal use,"Salem, OR","30,500"
81, 2C4RC1GG8LR269428,Chrysler,['Pacifica'],Limited FWD,2020,"71,915",19,28, Automatic, FWD,Gas,Silver,Black,0,1, Personal use,"Beaumont, TX","30,000"
82, 5N1AT2MV8LC785699,Nissan,['Rogue'],S AWD,2020,"17,665",25,32, Automatic, AWD,Gas,Gray,Black,0,1, Personal use,"Grand Rapids, MI","25,995"
83, 2C4RDGBG6KR541092,Dodge,"['Grand', 'Caravan']",SE,2019,"41,699",17,25, Automatic, FWD,Gas,White,Black,0,1, Personal use,"Smyrna, GA","22,999"
84, 2C4RDGEG3KR570884,Dodge,"['Grand', 'Caravan']",GT,2019,"75,319",17,25, Automatic, FWD,Gas,Silver,Black,0,2, Fleet use,"Greenwood, IN","21,997"
85, 1FTEX1C8XGFA09384,Ford,['F-150'],XL SuperCab 6.5' Box RWD,2016,"18,395",18,25, Automatic, RWD,Gas,White,Gray,0,1, Personal use,"Montclair, CA","24,900"
86, KNMAT2MT4KP540621,Nissan,['Rogue'],SV FWD,2019,"51,046",26,33, Automatic, FWD,Gas,White,Black,0,2, Fleet use,"Rio Linda, CA","22,997"
87, 4T1BF1FK8GU569425,Toyota,['Camry'],XLE I4 Automatic,2016,"76,915",25,35, Automatic, FWD,Gas,Silver,Beige,0,2, Personal use,"Lakewood, WA","18,997"
88, 3LN6L2GK1FR612068,Lincoln,['MKZ'],FWD,2015,"142,529",22,33, Automatic, FWD,Gas,Black,Beige,1,2, Personal use,"Detroit, MI","11,500"
89, 2GNAXMEV3J6257097,Chevrolet,['Equinox'],Premier with 1LZ FWD,2018,"80,418",26,32, Automatic, FWD,Gas,Silver,Black,0,1, Fleet use,"Santa Rosa, CA","21,888"
90, 4T1BF1FK1HU345088,Toyota,['Camry'],LE I4 Automatic,2017,"121,011",24,33, Automatic, FWD,Gas,White,Black,0,1, Personal use,"Sea Girt, NJ","14,500"
91, 3GNTKGE75CG169041,Chevrolet,['Avalanche'],1500 LTZ 4WD,2012,"95,550",15,21, Automatic, 4WD,Gas,White,Beige,0,4, Personal use,"Conroe, TX","23,500"
92, 4T1B11HK9KU731504,Toyota,['Camry'],SE Automatic,2019,"45,008",28,39, Automatic, FWD,Gas,Black,Black,0,1, Personal use,"Oklahoma City, OK","25,499"
93, KMHD74LF3LU900761,Hyundai,['Elantra'],SE 2.0L IVT,2020,"40,383",30,40, Automatic, FWD,Gas,Red,Gray,0,1, Personal use,"Hot Springs, AR","18,884"
94, 2C4RC1DG8LR144451,Chrysler,['Voyager'],LXI FWD,2020,"63,238",19,28, Automatic, FWD,Gas,White,Gray,1,3, Personal use,"Freeport, NY","24,997"
95, 1FMCU9G60LUB38968,Ford,['Escape'],SE AWD,2020,"20,667",26,31, Automatic, AWD,Gas,White,Gray,0,1, Personal use,"Roseville, CA","26,352"
96, 1C4SDJCT4LC145778,Dodge,['Durango'],R/T AWD,2020,"58,622",14,22, Automatic, AWD,Gas,Blue,Black,0,1, Personal use,"Arlington, TX","40,000"
97, 5NPD84LF0LH541879,Hyundai,['Elantra'],SEL IVT (SULEV),2020,"113,577",30,40, Automatic, FWD,Gas,Black,Gray,1,1, Personal use,"Leesburg, FL","17,500"
98, NMTKHMBX4JR055342,Toyota,['C-HR'],XLE Premium FWD,2018,"112,231",27,31, Automatic, FWD,Gas,Silver,Black,2,2, Personal use,"Roseville, CA","17,000"
99, W1N0G8EB7LF843384,Mercedes-Benz,['GLC'],GLC 300 SUV 4MATIC,2020,"22,731",,,,,,White,Black,0,1, Personal use,"Roseville, CA","42,000"
100, 1GKLRMEDXAJ234975,GMC,['Acadia'],FWD 4dr SLT1,2010,"92,274",17,24, Automatic, FWD,Gas,Silver,Gray,0,3, Personal use,"Eatontown, NJ","10,871"
101, 3VW267AJ5GM246831,Volkswagen,['Jetta'],1.4T S Auto,2016,"74,296",28,39, Automatic, FWD,Gas,Red,Black,0,5, Fleet use,"Mcgregor, TX","12,588"
102, 1FTFX1EF0DFC32755,Ford,['F-150'],STX SuperCab 6.5' Box 4WD,2013,"220,346",16,21, Automatic, 4WD,Gas,Black,Gray,0,3, Personal use,"Merced, CA","11,910"
103, 2HKRW2H51LH672321,Honda,['CR-V'],EX AWD,2020,"14,866",27,32, Automatic, AWD,Gas,Black,Gray,0,1, Personal use,"Houston, TX","31,898"
104, WA1BNAFYXK2037894,Audi,['Q5'],Premium Plus,2019,"36,541",22,27, Automatic, AWD,Gas,Black,Black,0,2, Personal use,"Dallas, TX","37,530"
105, WAU2GAFCXFN024486,Audi,['A7'],Prestige Sportback 3.0S quattro,2015,"73,900",18,28, Automatic, AWD,Supercharged,Black,Black,1,2, Personal use,"Rockford, IL","28,500"
106, MAJ6S3JL7LC350328,Ford,['EcoSport'],SES 4WD,2020,"34,023",23,29, Automatic, 4WD,Gas,Gray,Black,0,1, Fleet use,"Houston, TX","23,997"
107, 2FMPK4J94KBB03058,Ford,['Edge'],SEL AWD,2019,"59,615",21,28, Automatic, AWD,Gas,Blue,Black,0,2, Personal use,"Richmond, VA","25,513"
108, 2FMPK3J94LBA70865,Ford,['Edge'],SEL FWD,2020,"43,839",,,,,,White,Black,1,1, Fleet use,"Grand Rapids, MI","25,500"
109, JTJHY7AX8H4225512,Lexus,['LX'],LX 570,2017,"32,987",13,18, Automatic, 4WD,Gas,White,Red,0,1, Personal use,"Staunton, VA","68,500"
110, 3N1AB7AP0KY336116,Nissan,['Sentra'],S Manual,2019,"60,054",27,35, Manual, FWD,Gas,Gray,Black,0,1, Personal use,"Killeen, TX","15,799"
111, 4JGDF6EE6FA466750,Mercedes-Benz,['GL'],GL 450 4MATIC,2015,"69,025",17,21, Automatic, AWD,Gas,Black,Beige,0,2, Personal use,"Sarasota, FL","28,490"
112, 2C4RDGCG0JR298571,Dodge,"['Grand', 'Caravan']",SXT,2018,"75,472",17,25, Automatic, FWD,Gas,Black,Black,0,2, Personal use,"West Chester, OH","19,997"
113, 1G1ZD5ST6LF005309,Chevrolet,['Malibu'],LT,2020,"64,508",29,36, Automatic, FWD,Gas,Red,Black,0,2, Fleet use,"Henderson, NV","23,497"
114, WDBFA68F2YF193889,Mercedes-Benz,['SL'],SL 500,2000,"144,000",16,23, Automatic, RWD,Gas,Black,Black,4,4, Personal use,"Wichita, KS","8,888"
115, KNDJ33AUXL7715183,Kia,['Soul'],EX IVT,2020,"44,350",27,33, Automatic, FWD,Gas,Black,Black,0,1, Personal use,"Downey, CA","22,500"
116, JN1EV7AR6JM436992,INFINITI,['Q50'],3.0t LUXE AWD,2018,"66,750",19,27, Automatic, AWD,Gas,White,Beige,0,2, Personal use,"Las Vegas, NV","23,500"
117, 1C6RRFFGXKN646261,Ram,['1500'],"Big Horn/Lone Star Crew Cab 5'7"" Box 4WD",2019,"39,418",19,24, Automatic, 4WD,Gas,Red,Black,0,1, Personal use,"Bloomington, IN","35,819"
118, JTMDWRFV7LD060295,Toyota,['RAV4'],Hybrid Limited AWD,2020,"14,070",38,41, Automatic, AWD,Hybrid,Gray,Black,0,1, Personal use,"Starke, FL","41,774"
119, 1VWBP7A39DC045901,Volkswagen,['Passat'],SE Sedan 2.5 Auto (PZEV),2013,"81,370",22,31, Automatic, FWD,Gas,Gray,Black,2,3, Fleet use,"San Jose, CA","12,500"
120, 3MZBN1U79JM212852,Mazda,['Mazda3'],Sport 4-Door Automatic,2018,"42,250",28,37, Automatic, FWD,Gas,Gray,Black,0,2, Personal use,"Jackson, TN","19,500"
121, 5NPE24AF6KH780389,Hyundai,['Sonata'],SE 2.4L,2019,"16,168",26,35, Automatic, FWD,Gas,Black,Black,0,1, Personal use,"Ft. Myers, FL","23,000"
122, 1C4PJMLX9KD471510,Jeep,['Cherokee'],Latitude Plus 4WD,2019,"28,342",,,,,,Gray,Black,0,1, Personal use,"Richmond, VA","27,800"
123, MAJ6P1CL5JC204512,Ford,['EcoSport'],SES 4WD,2018,"26,366",23,29, Automatic, 4WD,Gas,Gray,Black,0,3, Personal use,"Rio Linda, CA","21,497"
124, W1N0G8EB3LF779053,Mercedes-Benz,['GLC'],GLC 300 SUV 4MATIC,2020,"39,738",21,28, Automatic, AWD,Gas,Black,Black,0,3, Fleet use,"Vallejo, CA","38,997"
125, 1G1ZE5ST5GF321271,Chevrolet,['Malibu'],LT with 1LT,2016,"95,328",27,37, Automatic, FWD,Gas,Red,Black,0,3, Personal use,"Greensboro, NC","14,750"
126, 2C4RDGCG0LR168762,Dodge,"['Grand', 'Caravan']",SXT Wagon,2020,"57,581",17,25, Automatic, FWD,Gas,Black,Black,0,2, Personal use,"St. Petersburg, FL","24,997"
127, 58ABZ1B16KU019176,Lexus,['ES'],ES 350,2019,"17,561",22,33, Automatic, FWD,Gas,White,Beige,0,3, Personal use,"Michigan Center, MI","38,449"
128, 2LMDJ8JK8DBL41910,Lincoln,['MKX'],AWD,2013,"101,600",17,23, Automatic, AWD,Gas,Black,Black,0,3, Personal use,"Abilene, TX","15,995"
129, 5XYPG4A30KG562536,Kia,['Sorento'],L I4 FWD,2019,"67,393",22,29, Automatic, FWD,Gas,Black,Black,0,2, Fleet use,"Houston, TX","22,997"
130, 1FM5K8D80DGA26847,Ford,['Explorer'],XLT 4WD,2013,"125,600",17,23, Automatic, 4WD,Gas,Black,Black,1,5, Personal use,"Arlington, TX","15,500"
131, 2HKRW6H38KH204834,Honda,['CR-V'],LX AWD,2019,"82,306",25,31, Automatic, AWD,Gas,White,Beige,1,1, Personal use,"Bloomington, IL","24,997"
132, 1V2MR2CA1KC516617,Volkswagen,['Atlas'],V6 SEL 3.6L 4MOTION,2019,"34,300",17,23, Automatic, AWD,Gas,White,Beige,0,1, Personal use,"Fresno, CA","39,500"
133, 5N1AT2MV5KC831634,Nissan,['Rogue'],S AWD,2019,"19,609",25,32, Automatic, AWD,Gas,Blue,Black,0,1, Personal use,"Escondido, CA","25,995"
134, 5N1AT2MT3KC749769,Nissan,['Rogue'],SL FWD,2019,"63,312",26,33, Automatic, FWD,Gas,Black,Black,1,2, Personal use,"Bryan, TX","21,421"
135, 3LN6L5C90KR629717,Lincoln,['MKZ'],Reserve I FWD,2019,"48,446",20,31, Automatic, FWD,Gas,White,Beige,2,1, Personal use,"Midway City, CA","27,000"
136, WDD3G4FBXKW026216,Mercedes-Benz,['A-Class'],A 220 4MATIC,2019,"17,101",,,,,,Black,Beige,0,1, Personal use,"Lewisville, TX","34,500"
137, 5J6RW2H59LA001898,Honda,['CR-V'],EX AWD,2020,"41,651",27,32, Automatic, AWD,Gas,White,Gray,0,1, Personal use,"Sumter, SC","30,806"
138, 3GKALVEVXJL368451,GMC,['Terrain'],SLT AWD,2018,"63,020",24,28, Automatic, AWD,Gas,Black,Black,0,1, Personal use,"ORLANDO, FL","24,000"
139, 3N1AB7AP1KY273088,Nissan,['Sentra'],SV CVT,2019,"77,420",29,37, Automatic, FWD,Gas,Black,Black,0,2, Personal use,"Abilene, TX","15,495"
140, 1HGCV1F19KA006091,Honda,['Accord'],LX 1.5T CVT,2019,"22,318",,,,,,Black,Black,0,1, Personal use,"Chesapeake, VA","24,500"
141, 1FM5K8D89FGB64096,Ford,['Explorer'],XLT 4WD,2015,"89,843",17,23, Automatic, 4WD,Gas,White,Black,1,1, Personal use,"Hazard, KY","20,997"
142, 1C4PJMDX3LD587625,Jeep,['Cherokee'],Limited 4WD,2020,"68,044",19,27, Automatic, 4WD,Gas,Silver,Black,0,1, Personal use,"Midwest City, OK","27,798"
143, 5XXGT4L3XKG373826,Kia,['Optima'],S,2019,"31,500",24,33, Automatic, FWD,Gas,White,Black,0,1, Personal use,"Sterling, VA","24,995"
144, 1FTFW1ET1EKE95306,Ford,['F-150'],Limited SuperCrew 5.5' Box 4WD,2014,"57,403",15,21, Automatic, 4WD,Gas,White,Unknown,0,3, Personal use,"Pasco, WA","30,500"
145, 5TDYK3DC9CS218474,Toyota,['Sienna'],Limited 7-Passenger FWD,2012,"111,313",18,24, Automatic, FWD,Gas,Gray,Gray,0,1, Personal use,"Abbeville, LA","18,500"
146, 5YFEPRAE7LP091228,Toyota,['Corolla'],LE CVT,2020,"42,514",30,38, Automatic, FWD,Gas,Blue,Unknown,0,1, Personal use,"Lakewood, NY","20,495"
147, 2T3BFREV2JW718680,Toyota,['RAV4'],LE AWD,2018,"35,391",22,28, Automatic, AWD,Gas,Red,Black,0,2, Personal use,"Lubbock, TX","23,987"
